name,score,document_length,url_count,button,chemical fiber,cloth,fabric,knitted fabric,nylon,polyester,pu,pvc,textile
Modern Sewing Co,0.6177933351998119,9179,10,39,0,9,29,0,0,1,68,0,2
Bombay Rayon Fashions Limited,0.6093704045393146,4369,6,8,0,14,52,2,0,3,20,0,27
Yongsheng Advanced Materials Co Ltd,0.3716558290324619,2274,7,0,1,0,3,0,0,16,20,0,21
Taroko Textile Corporation,0.1969580645457276,3450,9,0,0,1,6,1,2,4,35,0,65
PCCS Group Berhad,0.19224267632422842,4022,6,0,0,3,4,4,0,0,26,0,11
DAIDOH LIMITED,0.10904684280196669,2210,7,0,0,25,14,0,0,0,11,1,9
Textile Garment Impt Expt and Prdctn JSC,0.10212682954532237,4833,7,0,0,72,8,0,1,4,23,0,87
Ever-Glory International Group Inc,0.04876870839321986,5179,8,2,0,6,7,0,0,0,30,0,2
"Zhejiang Orient Holdings Co., Ltd",0.04836453539125046,3224,5,0,0,6,4,0,1,1,25,0,13
Aaswa Trading And Exports Ltd,0.033002488922105604,4296,7,1,0,0,4,0,0,0,19,0,6
Sunrise Asian Ltd,0.03261365232913962,4660,5,1,0,0,2,0,0,1,14,0,21
"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.02448883009983519,3216,8,0,0,2,2,0,1,1,25,0,11
Newcity (Bangkok) Public Company Limited,0.024340048790738953,5780,7,0,0,19,0,0,0,0,179,1,6
Confectii Vaslui SA,0.02330450598672541,3343,7,0,0,31,13,0,0,0,26,0,3
Jackson Investments Ltd,0.0216772020454412,8380,13,1,0,1,8,0,0,0,110,0,15
Leeds Group plc,0.019149816255883658,2704,8,0,0,14,13,0,0,0,11,0,12
Vinatex Danang JSC,0.016335300666955575,4906,9,0,0,5,1,0,0,2,24,0,52
SANYO SHOKAI LTD.,0.014693496976568089,4028,8,0,0,23,0,0,0,1,21,0,5
Standard Industries Limited,0.014000333632580627,5800,7,0,0,2,4,0,0,2,95,0,12
"Jiangsu Sanyou Group Co., Ltd.",0.011352516499445277,1793,2,0,0,27,0,0,0,0,6,0,3
Prochnik SA,0.010274994455192171,4185,10,0,0,22,3,0,0,0,25,0,1
"YAGI & CO., LTD.",0.010048483886509313,1027,7,0,0,0,8,0,0,0,8,0,37
"Shanghai Shenda Co., Ltd",0.008420100943466123,3363,9,0,0,1,12,0,0,0,26,0,61
Varteks d.d.,0.007727411561895698,2028,5,0,0,9,3,0,0,0,13,0,5
"KING Co., Ltd.",0.00643147654521875,2995,6,0,0,5,5,0,0,0,24,0,8
GSI Creos Corporation,0.005624318667813991,2621,7,0,0,3,4,0,0,0,9,0,30
Marumitsu Co Ltd,0.004629913198436368,2931,8,0,0,19,0,0,0,0,21,0,0
Quasar India Ltd,0.004523448130228408,5515,9,0,0,0,13,0,0,0,94,0,8
Wacoal Holdings Corporation (ADR),0.0037604175673170907,34227,7,0,0,8,4,0,1,0,258,0,27
WACOAL HOLDINGS CORP.,0.003673176627373833,33708,5,0,0,6,4,0,1,0,260,0,28
Adolfo Dominguez SA,0.0035503000359835397,5217,9,0,0,27,0,0,0,0,44,0,2
"Shandong Hiking International Co., Ltd.",0.003538006851927789,3338,9,0,0,3,3,0,0,0,15,0,13
"NJ Textiles Import & Export Corp.,Ltd.",0.003313986492516259,4803,8,0,0,2,5,0,0,0,26,0,94
"Takihyo Co., Ltd.",0.003182859559341046,3854,9,0,0,7,2,0,0,0,17,0,25
"Orient International Enterprise, Ltd.",0.0027165131147137904,3485,8,0,0,1,4,0,0,0,22,0,20
Hatzioannou Holdings S.A.,0.002175854244804212,5936,10,0,0,7,4,0,0,0,43,0,6
"SANKYO SEIKO CO., LTD",0.00201456848849434,3488,7,0,0,3,1,0,0,0,20,0,19
Tan Mai General Wood JSC,0.0015172212479599486,3219,7,0,0,0,4,0,0,0,16,0,1
Renown Inc,0.0013030929441401463,3764,6,0,0,4,2,0,0,0,19,0,0
Luen Thai Holdings Ltd,0.001251827675440623,3055,6,0,0,3,0,0,0,0,16,0,16
Makoteks AD Skopje,0.0009801400435693595,2491,6,0,0,1,1,0,0,0,22,0,9
Gala Global Inc,0.0008039829988674897,6686,9,0,0,4,0,0,0,0,58,0,3
Atsugi Co Ltd,0.0007958436709158179,2161,6,0,0,2,0,0,0,0,24,0,7
Dagi Giyim Sanayi ve Ticaret AS,0.0005141152090908986,2563,9,0,0,0,1,0,0,0,8,0,6
Sinar OAO (P),0.0003979886406589719,1028714,9,2,1,11,13,0,1,0,3799,0,11
Tristate Holdings Limited,0.0002747304937284612,3042,5,0,0,2,0,0,0,0,23,0,2
Shanghai Lansheng Corporation,6.695647001691036e-05,2354,7,0,0,0,0,0,0,0,11,0,3
Armeyski Holding AD Sofia,8.5274425748234e-06,2972,8,0,0,0,0,0,0,0,13,0,0
