name,score,document_length,url_count,dram,flash,led,memory,sram
"GSI Technology, Inc.",0.49687364840124765,3589,10,26,1,3,19,96
Winbond Electronics Corp.,0.345292660670582,5309,9,181,126,12,67,20
AP Memory Technology Corp,0.27871813142731494,3164,9,15,0,1,95,19
Fidelix Co Ltd,0.24759419169232352,3297,11,20,11,13,23,22
Eon Silicon Solution Inc.,0.2284039164887387,2535,7,1,62,24,61,6
Elite Semiconductor Memory Tech. Inc.,0.21003405212455295,2137,8,10,7,2,53,4
Spansion Inc.,0.17334093729162062,7333,13,5,97,27,88,9
Jeju Semiconductor Corp,0.17129942023080044,2264,5,6,24,0,14,17
"Micron Technology, Inc.",0.16253012865154534,4593,10,43,45,2,91,1
Etron Technology Inc,0.1493564590089831,1411,6,34,20,2,19,1
Cypress Semiconductor Corporation,0.14300539810445909,9955,13,3,40,25,69,22
Powerchip Technology Corp,0.1351728494567865,4049,7,36,31,5,55,0
Inotera Memories Inc,0.13419461782301034,2531,8,21,1,6,45,0
Apacer Technology Inc,0.1217101667059945,6904,14,22,36,25,85,1
Rambus Inc.,0.12065150167401027,6102,8,47,0,31,52,5
SK Hynix Inc,0.11440913248766617,6899,11,69,16,11,47,1
UNIFOSA CORP.,0.11030361250833447,1325,7,7,9,1,28,0
"A-DATA Technology Co., Ltd.",0.1101226780406515,4074,12,16,27,17,43,0
Skymedi Corporation,0.10122663175599618,4223,9,0,22,16,40,5
Panram International Corp,0.10091455207105482,3637,12,30,21,4,30,0
"Macronix International Co., Ltd.",0.09790881089968853,5269,11,8,134,8,42,0
Winpac Inc,0.09305077336430807,5212,8,6,17,8,14,14
Zentel Electronics Corp.,0.08945100175822211,2071,13,47,0,8,5,0
SK Hynix Inc (Parent),0.08883819057906776,7529,12,94,12,7,34,0
"Supreme Electronics Co., Ltd.",0.08619142924805125,2441,6,4,9,8,26,0
Microchip Technology Inc.,0.08574263761906548,19903,11,1,87,78,109,24
"eMemory Technology, Inc.",0.08566989333878497,3319,7,0,18,12,69,0
Atmel Corporation,0.07951977543415069,9355,7,1,39,44,66,4
TOMEN DEVICES CORPORATION,0.07889711547190821,2336,5,6,6,1,16,3
Phison Electronics Corp.,0.07391711767473688,1927,7,0,43,4,20,0
MoSys Inc.,0.06945094432617532,4620,8,2,1,8,32,7
Nanya Technology Corporation,0.0626477602823955,2412,10,27,0,5,13,0
Phoenix Semiconductor Philippines Corp,0.059914842999319144,2850,8,3,5,4,21,0
Holtek Semiconductor Inc.,0.05749030919395079,13713,15,0,220,159,90,14
WPG Holdings Limited,0.05528603374347665,3165,8,0,6,18,16,3
Integrated Device Technology Inc,0.055028238945922896,4492,8,0,3,9,25,5
Renesas Easton Co Ltd,0.04981009581629849,1885,6,1,3,6,12,1
Intel Corporation,0.048620916237585514,30281,13,17,12,102,114,7
CoAsia Microelectronics Corp.,0.04602400824448227,5669,10,12,10,7,18,0
Siltrontech Electronics Corporation,0.044805901712868634,4508,6,11,5,30,10,1
Faraday Technology Corporation,0.04466880081107604,3178,7,0,6,2,27,3
Team Group Inc,0.04339591457637683,3401,8,0,6,2,58,0
Walton Advanced Engineering Inc,0.040612900186456725,2893,7,8,3,1,12,0
Kingpak Technology Inc,0.04040862117906749,2363,7,7,7,3,11,0
"Transcend Information, Inc.",0.03789627288814807,3216,6,3,19,4,18,0
Foxsemicon Integrated Technology Inc,0.03680510778239449,3998,4,8,2,86,0,9
Goldenmars Technology Hldg Ltd,0.036682786208417306,3748,7,4,10,1,19,0
AverLogic Technologies Corporation,0.035499270955597045,2818,11,1,1,4,25,0
Prolink Microsystems Corp,0.0352099445465587,9391,4,9,1,21,1,7
SAMT Co Ltd,0.0339502174693487,3182,5,3,4,11,13,0
Honey Hope Honesty Enterprise Co Ltd,0.0333927428947707,5008,7,9,0,9,9,5
Eagle Mountain Corp,0.03273619423798614,5423,4,4,3,11,20,1
Orient Semiconductor Electronics Ltd,0.032071585594075934,4300,7,9,5,4,7,1
Barun Electronics Co Ltd,0.0319064934890468,1588,6,0,10,3,13,0
Wuhan P&S Information Technology Co Ltd,0.03151531871907342,2873,3,3,1,7,9,2
EDISON OPTO CORPORATION,0.030973373724888405,4802,8,8,3,133,0,6
Walsin Technology Corporation,0.030213180302673386,3084,5,3,2,20,4,3
"Hakuto Co., Ltd.",0.029898351902264825,1452,1,1,3,6,2,3
United Microelectronics Corp (ADR),0.029377670626355094,5403,9,0,2,5,13,6
Formosa Sumco Technology Corp,0.02832297008245862,3631,8,16,2,6,7,0
Thin Film Electronics ASA,0.025653136768356316,6074,9,0,2,18,46,0
Chipsip Technology Co Ltd,0.02430965993833542,3641,7,9,2,5,10,0
United Microelectronics Corp.,0.024300525758643214,5059,6,1,4,9,13,1
STS Semiconductor and Telecommunications,0.02350819093399669,2711,7,0,3,1,15,0
"Service & Quality Technology Co., Ltd",0.0229681425950753,1819,2,8,0,1,3,0
Powertech Technology Inc.,0.02240352430062134,2617,6,2,1,5,14,0
"Alchip Technologies, Limitd",0.020965459701665325,4093,4,1,1,5,3,3
ON Semiconductor Corp,0.0209495112902564,23356,11,0,14,149,43,9
Aptos Technology Inc.,0.020871218872140048,2793,6,8,5,2,4,0
Zenitron Corp,0.01990078008323744,1042,6,0,3,4,5,0
Shinden Hightex Corp,0.019149334158868433,1353,5,1,3,1,6,0
"WT Microelectronics Co., Ltd.",0.01899451973697786,2116,8,0,1,11,7,2
Ace Pillar Co Ltd,0.018888221159277428,3052,5,14,8,8,0,0
LIWANLI Innovation Co Ltd,0.018297520358079578,3102,5,2,4,5,10,0
Tongfang Guoxin Electronics Co Ltd,0.018266352113743212,3029,3,9,3,2,6,0
e.Digital Corporation,0.018195548026504763,6369,7,1,19,25,10,0
Higher Way Electronic Co Ltd,0.01813833162840481,3084,6,8,0,4,6,0
eASIC Corp,0.017944943789178443,4908,8,2,1,4,4,6
NICHIDENBO CORPORATION,0.017743189260215498,3156,11,9,6,5,0,0
"Hanyang Digitech Co., Ltd.",0.01645122727673623,5942,5,3,8,24,12,0
Okins Electronics Co Ltd,0.016173663819877053,1304,5,0,0,4,9,0
"RDC Semiconductor Co.,Ltd",0.015827428580140007,2724,3,11,0,1,3,0
Hua Hong Semiconductor Ltd,0.015421722157536621,2911,4,0,15,1,6,0
All Ring Tech Co Ltd,0.015418888260285623,2051,6,8,0,13,1,0
"Siliconware Precision Industries Co, Ltd",0.015371925093320223,3730,5,1,1,3,6,1
Alltek Technology Corp.,0.0147829030146657,3155,8,0,20,47,4,0
Techwing Inc,0.014522414838996151,2868,5,2,3,2,12,0
Eclat Forever Machinery Co Ltd,0.014513480359846792,3499,8,8,0,23,3,0
STMicroelectronics NV,0.014167778152360718,10845,9,1,4,27,18,0
"Prosperity Dielectrics Co., Ltd.",0.013851993169482504,3351,3,8,0,5,2,1
LuxNet Corp,0.013498062076185533,1600,7,0,5,4,2,1
ASEC International Corporation,0.013197401356753886,2496,5,8,0,6,1,0
Koryo Electronics Co Ltd,0.013191001203367149,3913,5,8,0,5,1,1
Contrel Technology Co Ltd,0.013149573571420131,2576,4,8,0,8,1,0
Taiwan IC Packaging Corporation,0.013063057107907877,3423,3,8,1,6,1,0
"Visual Photonics Epitaxy Co., Ltd",0.012686052695001795,3112,4,8,1,4,1,0
Elite Advanced Laser Corporation,0.012664488794154861,2845,4,8,4,1,0,0
Serial System Ltd,0.012169873065656643,3986,6,0,0,3,0,6
"InnoChips Technology Co., Ltd.",0.011940388973402327,2119,4,0,1,3,3,1
Power Integrations Inc,0.011768385192746629,4965,9,4,0,70,6,1
UKC Holdings Corp,0.011358045205354132,2229,4,1,0,6,5,0
"Everlight Electronics Co., Ltd.",0.011301605129718272,2982,8,0,2,93,6,1
ARES GREEN TECHNOLOGY CORPORATION,0.01102834721126207,1976,2,8,0,3,0,0
MetaTech (AP) Inc.,0.010915807823956306,3725,4,8,6,2,2,0
Excellence Optoelectronic Inc,0.01080401808653945,3472,7,9,0,134,0,1
"Unity Opto Technology Co., Ltd.",0.010672915849588474,3196,5,1,1,143,0,3
NICHING INDUSTRIAL CORPORATION,0.010537309604679811,763,7,0,1,9,3,0
Cavium Inc,0.010190991862480313,6052,7,0,0,10,20,0
ChipMOS Technologies (Bermuda) Ltd,0.009998330354593401,6275,13,0,0,23,22,0
STMicroelectronics NV (ADR),0.009596337936130126,10144,10,0,4,16,9,1
MARUBUN CORPORATION,0.009408380780721523,2559,5,0,1,4,6,0
Advanced Wireless Semiconductor Company,0.009383076501767283,4364,3,10,0,6,1,0
Darfon Electronics Corp,0.009367719159521976,2159,4,8,0,8,0,0
Solomon Technology Corporation,0.008875103956272178,3662,4,8,0,3,1,0
CML Microsystems Plc,0.008590969194434375,4752,9,0,9,8,6,0
Abico FS Co Ltd,0.008545984983583579,4069,3,8,0,4,1,0
Calitech Co Ltd,0.008531706685308673,2741,4,8,0,7,0,0
Micro Base Technology Corp,0.008426662335878526,2507,3,8,0,5,0,0
ADTEC Corporation,0.00841773310150841,2792,7,0,1,10,6,0
OPTO Tech Corporation,0.0083630810962506,2579,6,8,2,79,0,0
"CHIP HOPE CO., LTD",0.008209985464362685,2303,4,0,2,1,8,0
Ichia Technologies Inc.,0.007963840897131697,2959,4,8,0,5,0,0
"Electro Scientific Industries, Inc.",0.007937115067288888,5413,7,0,0,13,13,0
ROHM COMPANY LIMITED,0.0078774719751043,12274,9,2,4,54,14,0
Chipbond Technology Corporation,0.007842580720690672,2030,1,8,0,1,0,0
Nordic Semiconductor ASA,0.007812752531257667,8391,12,0,8,22,9,2
Harmony Electronics Corp,0.007693969340815187,2018,1,8,0,1,0,0
Sino-American Silicon Products Inc.,0.007568134638321192,2759,4,8,0,5,0,0
Turvo International Company Limited,0.007495186095704163,3148,4,8,0,5,0,0
"Howteh Technology Co., Ltd.",0.007486277381566319,3065,3,8,0,4,0,0
Mildex Optical Inc.,0.007307095229122869,2905,3,8,0,4,0,0
Avid Electronics Corporation,0.007234805081278024,6929,10,0,2,18,6,1
Darwin Precisions Corp,0.00718938695130861,4441,7,8,1,22,0,0
"Mattson Technology, Inc.",0.007110539036084703,4864,7,2,1,12,8,0
Sentronic International Corp,0.007072572047837621,4183,4,8,0,2,3,0
Kenmos Technology Co. Ltd.,0.007062238316583804,3164,3,8,0,4,0,0
"Pontex Polyblend Co., Ltd.",0.007052463071038325,3644,3,8,0,3,0,0
"PRESCOPE TECHNOLOGIES CO.,LTD",0.0069850912377770625,3538,4,8,0,9,0,0
Telsys Ltd.,0.006978702080117373,4954,3,1,3,13,2,1
I-Chiun Precision Industry Co Ltd,0.006970466474956724,3657,8,8,2,20,0,0
ASIX ELECTRONICS CORPORATION LTD,0.006924987843873468,5052,3,0,5,7,3,2
Infineon Technologies AG,0.006888659283429184,8628,9,2,0,24,8,1
PixArt Imaging Inc.,0.006887105996961294,3229,5,8,0,12,0,0
Promate Electronic Co Ltd,0.006861746918564644,2833,4,1,2,23,2,2
Tyntek Corporation,0.006798423311166465,3133,9,8,0,43,0,0
Chen Full International Co Ltd,0.006647856119441024,3996,2,8,0,4,0,0
Professional Computer Technology Ltd,0.006514174341180094,2180,4,0,4,0,4,0
SUNNIC Technology & Merchandise Inc.,0.006482671227257616,3522,5,8,0,5,0,0
"Ryosan Company, Limited",0.0063756106962197965,2132,6,0,1,4,4,0
AIXTRON SE,0.006276815036606697,4016,8,0,0,42,8,0
Asia Vital Components Co Ltd,0.006143338336420993,3599,5,8,0,14,0,0
Advanced Microelectronic Products Inc.,0.006125938851733231,2240,1,8,0,1,0,0
"Jochu Technology Co., Ltd.",0.006101528535332519,3403,4,8,0,4,0,0
