name,score,document_length,url_count,coffee,drink,food,juice,water
Jammin Java Corp,0.44196544650413294,4508,9,148,17,7,0,1
Dongsuh,0.39071002141759276,8506,11,154,7,90,1,5
RG Brands AO,0.3061106081177777,4260,9,1,72,22,209,12
"S. ISHIMITSU & CO., LTD.",0.2545227594514579,3833,9,70,3,81,0,1
SAPPE PCL,0.20682533601570827,5235,12,45,127,12,57,7
PC Splash Water Public Company Ltd,0.20365816257430727,2681,9,23,17,8,2,60
Lotte Chilsung Beverage Co Ltd,0.19902672590962775,2660,7,15,44,3,19,23
Pinar Su Sanayi ve Ticaret A.S.,0.17554405168524537,2868,7,14,30,12,14,22
"DyDo DRINCO, INC.",0.14435324514910375,4281,9,28,32,10,5,5
Nestle SA,0.1431781560116347,11645,16,42,28,166,0,116
Cott Corporation (USA),0.1358136689931412,4824,11,16,81,4,16,35
Coca-Cola Amatil Ltd,0.1349243859542544,5192,11,20,32,20,6,20
MOJO Organics Inc,0.12747355167741822,2551,8,6,3,7,16,17
National Mineral Water Company SAOG,0.1183058345183506,19819,9,13,42,89,14,307
Gulfa Mineral Water & Processing Ind Co.,0.11736844881659493,3737,9,3,10,19,6,73
Hokkaido Coca Cola Bottling Co Ltd,0.11410451676884512,2420,6,7,19,10,7,8
Staatl.Mineralbrunnen AG Bad Brueckenau,0.11211434475364783,3496,7,7,21,6,7,26
Oman Refreshment Company,0.11179267434040158,4434,9,3,63,47,25,30
Hey-Song Corp,0.11124634618789359,4310,7,10,101,6,11,4
Les Toques Blanches du Monde SARL,0.10740664350627066,11728,6,19,36,94,25,26
CUROHOLDINGS Co Ltd,0.09970910701958051,3339,9,25,1,12,0,1
Dubai Refreshments PJSC,0.0955139822465567,2283,6,3,45,8,8,12
Monster Beverage Corp,0.09199894435998851,9194,12,11,133,16,51,11
Kofola SA,0.08851073619493648,6378,8,11,49,12,11,15
Alkaline Water Company Inc,0.08780964953415113,4619,13,0,15,10,0,199
Water Direct Corp,0.08732710760993874,4137,10,0,1,4,0,181
Tibet 5100 Water Resources Holdings Ltd,0.0839376227644327,4433,9,0,3,3,0,153
Dhofar Beverage & Food Stuff Co SAOG,0.07697693941865705,3513,8,3,33,108,14,22
Organizacion Cultiba SAB de CV,0.07586283837519797,4173,6,7,25,8,7,17
National Beverage Corp.,0.07556935517385185,7094,11,7,68,8,35,43
Emirates Refreshments PSC,0.07002985582113175,2523,8,3,17,6,3,27
"ITO EN, LTD.",0.06935785615919497,4776,11,17,45,6,4,9
Spritzer Bhd,0.06590583102653523,4138,9,0,39,4,0,117
Khanh Hoa Mineral Water JSC,0.06405299038337091,3069,10,0,11,18,0,99
Les Eaux Minerales d'Oulmes SA,0.06318063334887769,5174,9,7,31,33,9,24
Uni-President China Holdings Ltd.,0.06144634242413953,4091,8,5,21,38,11,7
Nafoods Group JSC,0.05806401520894435,3144,8,2,4,120,24,3
Jamnica dd,0.052274835525018264,3691,18,0,37,2,4,130
Nichols plc,0.05129011998655644,5614,9,5,97,16,3,5
Suntory Beverage & Food Ltd,0.04970637441471421,6236,10,14,31,105,0,47
Refresco Gerber NV,0.04964101722681321,4954,10,0,54,5,22,8
Embotelladora Andina SA,0.04852907040051571,5530,6,0,40,6,16,22
A.G. Barr plc,0.048090813052606526,7358,9,0,107,6,13,40
Coca-Cola Enterprises Inc,0.04539110418292603,7761,11,3,58,8,11,39
Your Drinks AG,0.04504366201387533,2241,7,3,82,0,3,0
Pulse Beverage Corp,0.042594050714270394,6278,12,0,22,28,6,77
Coca Cola HBC AG,0.04084809571059629,5086,8,4,37,2,12,16
Ersu Meyve ve Gida Sanayi AS,0.039853040493868175,3380,7,1,2,41,24,1
Corporacion Lindley SA,0.03674788765962212,9358,13,0,111,6,19,36
"Oceanic Beverage Co., Inc",0.035174863974866064,3625,7,0,11,9,10,9
Krynica Vitamin SA,0.032098956331539516,2903,12,0,57,18,5,4
Sodastream International Ltd,0.03187518766669831,9764,15,2,56,7,2,77
Kristal Kola ve Mesrubat Sanayi Tic. AS,0.031432307251568564,2474,7,0,31,2,3,14
Coca-Cola Bottling Co. Consolidated,0.031162062766885892,4436,7,4,12,2,6,14
Olvi Oyj,0.031083267886704485,4744,7,2,55,7,5,8
"Leading Brands, Inc (USA)",0.029052875534729187,3967,8,0,6,0,7,34
MARR SpA,0.02850449739231309,6349,11,0,1,76,19,5
A & P Andreou & Paraskevaids Entrprs PCL,0.028232437475547243,3623,7,0,19,19,11,10
Embotelladora Andina SA (ADR),0.02738162916332564,4575,5,0,14,5,9,8
"Fomento Economico Mexicano, SAB de CV",0.026965138982650395,4032,6,1,9,8,4,11
Hung Fook Tong Group Holdings Ltd,0.026902238353011487,3882,11,0,133,7,15,0
"KAGOME CO., LTD.",0.0266560028285001,2963,6,0,11,24,14,0
Mayanot Tamda Ltd,0.02657359603932371,4145,7,4,1,5,0,19
Tri Banyan Tirta Tbk PT,0.026474517237520156,2286,6,0,4,6,0,20
Chuong Duong Beverages JSC,0.025972851924178583,5095,7,3,19,9,0,19
Yeo Hiap Seng Ltd,0.025645779024365295,5504,9,2,40,61,8,3
Societe de Fbrctn ds Bs de Tns SA,0.02556832100299024,8474,9,4,18,25,6,24
Voda Vrnjci ad Vrnjacka Banja,0.02398570333982858,3312,4,0,18,2,4,29
Seven-Up Bottling Co Plc,0.023727979389675188,4065,9,1,25,8,1,14
Maeil Dairy Industry Co Ltd,0.023575258402373026,3972,13,4,4,89,5,2
