name,score,document_length,url_count,analog,card,card payment,certificate,consulting,test,training
Mastercard Inc,0.6064735966217412,8930,14,0,611,9,0,2,11,1
SOCIETE MAGHREBINE DE MONTIQUE,0.5178297631178682,5774,8,0,32,6,1,13,9,16
EVRY ASA,0.22804093105427686,3362,6,0,23,3,0,3,3,0
Edu Fin Inv JSC,0.2043253230434933,5348,8,0,72,0,15,0,9,0
Triis Inc,0.1984219571709913,3763,6,0,0,0,21,0,21,6
Institut Igh dd,0.18792400462906397,2952,6,0,1,0,16,6,9,0
CardioGenics Holdings Inc,0.16419132783697532,7596,14,0,254,0,2,0,97,0
Genpact Limited,0.16389465329447814,6603,8,0,34,0,11,12,4,5
DTS Corp,0.12332033776689844,9014,12,5,3,0,0,3,59,38
Serma Technologies SA,0.1079015562086015,5636,11,1,5,0,4,21,34,23
Nixu Oyj,0.10402902941861315,2549,4,0,1,0,11,11,2,0
Mistras Group Inc,0.09510178134245931,5437,12,4,0,0,2,3,48,14
Fidelity National Information Services,0.07752864733431084,9498,7,0,86,0,0,21,84,0
Medical Marijuana Inc,0.07743659668852645,8946,12,3,4,0,4,3,19,0
Primeserv Group Limited,0.07590287015014274,3773,9,0,2,0,5,13,2,49
MOLD-TEK Technologies Limited,0.07045633097919714,3991,5,2,1,0,1,0,15,4
Kudelski SA,0.06633327581051814,2003,5,1,3,0,0,3,3,2
Virinchi Technologies Ltd,0.05940818909665071,6905,11,0,4,1,0,23,21,5
GP Strategies Corp,0.0572102449430301,5804,10,0,0,0,3,21,4,64
Jiangsu Province Comm P & D Inste Ltd Co,0.056149871954290075,8616,4,0,3,0,10,0,7,1
Wison Engineering Services Co Ltd,0.052942764884472644,6278,5,0,0,0,14,10,0,4
Danlaw Technologies India Limited,0.05201344798259603,3798,6,2,2,0,0,4,18,1
Technvision Ventures Ltd,0.05129179711590953,4925,10,2,1,0,2,4,21,0
KTCS Corp,0.050244198682413206,3878,8,0,2,0,0,14,6,49
Virtusa Corporation,0.048581919384043375,7835,11,0,3,1,0,82,13,5
"Syntel, Inc.",0.04825899991137809,5606,10,0,0,1,0,7,31,6
Wisec Global Ltd,0.0480057150909237,5238,8,0,1,0,5,3,18,3
Goldstone Technologies Ltd.,0.04789167432549232,7887,8,2,2,0,4,11,21,2
VICOM Limited,0.042639613197757005,7711,12,1,5,0,0,10,49,4
MITCON Consultancy & Engineering Svs Ltd,0.039452202420184025,7788,9,0,0,0,0,67,11,85
Nippon RAD Inc.,0.03615595251322622,2197,3,2,0,0,0,7,1,0
SMRT Holdings Bhd,0.034747556039020834,2758,5,0,0,0,0,13,3,24
Visiativ SA,0.03404853817059141,3197,3,0,0,0,4,3,1,0
Top Resource Conservation Engineering,0.03193862603931151,5003,5,0,6,0,2,0,6,4
Bureau Veritas SA,0.031628450304620234,9874,13,0,1,0,3,20,84,26
AF AB,0.03155461274007546,754,3,0,3,0,0,3,3,0
"CBIZ, Inc.",0.03060850164060284,8227,12,0,11,0,0,104,38,11
