name,score,document_length,url_count,automobile,bus,city bus,coach,hybrid,intercity bus
"Zhengzhou Yutong Bus Co., Ltd.",0.5951995285845849,6413,11,3,357,26,58,4,12
"Yangzhou Yaxing Motor Coach Co.,Ltd",0.4798552195274778,5071,10,19,168,6,122,2,4
"Zhongtong Bus & Holding Co., Ltd",0.4570040754164349,4785,14,2,378,29,61,6,3
Man SE,0.21463728792584896,6640,11,7,127,6,28,1,3
New Flyer Industries Inc.,0.21331858179727914,9883,13,1,371,2,119,37,3
"Anhui Ankai Automobile Co., Ltd",0.1980761658561256,4615,9,98,255,11,57,1,0
Ford Motor Company,0.08930209518914352,14793,10,31,102,1,21,80,0
Lanka Ashok Leyland Plc,0.08821513596290165,7058,11,3,150,4,10,14,0
Toyota Motor Corp,0.07865271835329954,17348,10,43,53,0,2,147,0
Marcopolo SA,0.0744419888269376,5286,9,2,188,2,25,1,2
"Xiamen King Long Motor Group Co., Ltd.",0.07408528896826216,4246,9,6,70,3,25,0,0
RAC Electric Vehicles Inc,0.06949154217599263,2969,10,6,37,4,1,0,0
Daimler AG,0.06539995627386942,15026,13,30,111,0,10,34,1
Hyundai Motor Co,0.06350964883284407,14624,11,29,51,0,3,67,0
"HINO MOTORS, LTD.",0.061648629741334074,8226,9,16,86,1,3,28,0
Honda Motor Co Ltd,0.054062163041310694,13686,9,58,67,0,0,72,0
Compagnie Plastic Omnium SA,0.045459373778527004,4659,10,6,20,0,0,22,0
Hino Pak Motors Ltd.,0.04306903616881399,4855,18,1,75,0,4,0,2
AMO ZIL PAO,0.04199832030776414,9932,11,27,85,0,25,3,0
General Motors Company,0.041057904298988306,39235,18,123,176,0,81,35,0
Ashok Leyland Ltd,0.03962401673331119,9009,9,10,118,1,1,16,0
Kia Motors Corporation,0.03764596515753706,11665,12,47,43,0,3,30,0
Tata Motors Limited,0.034469455871379846,11833,12,30,156,3,20,3,0
"Liaoning SG Automotive Group Co., Ltd.",0.0344360554514128,4425,9,24,72,2,4,2,0
Blue Bird Corp,0.03153266970574166,10654,11,1,476,3,30,1,0
Otokar Otomotiv ve Savunma Sanayi AS,0.030390449837525074,2809,11,2,33,2,0,0,1
Navistar International Corp,0.02463629821039051,10521,14,2,110,0,13,13,0
"DAIHATSU MOTOR CO., LTD.",0.023324844592270143,8158,11,29,62,0,0,18,0
Peugeot SA,0.023298113231503593,9921,9,53,35,0,0,22,0
Anadolu Isuzu Otomotiv Sanayii v Tcrt AS,0.023013078648379315,4304,8,4,90,0,15,0,0
Pavlovskiy avtobus OAO (P),0.021136787914635434,2985,9,3,75,2,0,0,0
Automobile Corp Of Goa Ltd,0.020307845460834577,4803,7,95,54,0,4,0,0
"Faw Car Co., Ltd.",0.019833728414611645,5966,12,49,51,0,12,2,0
Pininfarina SpA,0.019591955316835104,19026,12,14,29,0,20,11,0
Tan Chong Motor Holdings Berhad,0.017891991778971765,8055,8,21,39,0,5,4,0
Workhorse Group Inc,0.017161115774871675,3838,7,0,11,0,0,9,0
Chongqing Changan Automobile Company Ltd,0.016988430211022,9550,12,101,40,0,1,3,0
Bayerische Motoren Werke AG,0.014429798930869112,16438,11,40,43,0,2,21,0
Nissan Motor Co Ltd,0.014097784922697407,34846,16,99,129,0,9,19,0
"Hino Motors, Ltd. (ADR)",0.01398877001803268,5370,10,0,31,0,2,8,0
Fiat Chrysler Automobiles NV,0.01325439369482672,19102,12,204,68,0,14,2,0
"Anhui Jianghuai Automobile Co.,  Ltd.",0.01295166716050237,8242,14,105,41,0,1,2,0
Guangzhou Automobile Group Co Ltd,0.012432713431233115,4302,7,120,37,0,2,0,0
Haima Automobile Group Co Ltd,0.012244594466945227,2585,6,69,16,0,2,0,0
Tesla Motors Inc,0.012062977984232384,39066,21,25,105,0,11,26,0
Mazda Motor Corp,0.011745536675004432,14966,11,38,36,1,0,6,0
Fuji Heavy Industries Ltd,0.011152167266081389,6097,11,13,38,0,0,5,0
Renault SA,0.010761938215937464,16895,9,29,65,0,7,8,0
Honda Motor Co Ltd (ADR),0.010663083598674598,6799,9,24,22,0,0,5,0
GAZ OAO,0.010435799484980909,8380,15,36,85,2,2,0,0
Indus Motor Company Ltd,0.010166796890028949,16138,13,17,59,0,0,11,0
"Dongfeng Automobile Co., Ltd",0.009772633375482958,5633,10,102,42,0,2,2,0
SAIC Motor Corporation Limited,0.009562170402569034,8407,14,36,53,0,5,1,0
Isuzu Motors Ltd,0.009549032877721146,19201,12,38,106,1,2,5,0
"Tianjin Faw Xiali Automobile Co., Ltd.",0.009498847562070822,4804,10,93,17,0,2,0,0
Geely Automobile Holdings Ltd,0.009109141147533568,9420,10,98,20,0,1,3,0
Mahindra & Mahindra Limited,0.008090788710017213,16198,12,29,146,0,0,13,0
Grande West Transportation Group Inc,0.007948078889005738,4323,7,0,129,0,11,0,0
Autech Corp,0.007411918512670766,4378,10,17,48,0,1,1,0
Qingling Motors Co. Ltd.,0.007113592102460613,3914,9,14,45,0,1,1,0
"Ssangyong Motor Co., Ltd.",0.0070938436973306115,14444,18,31,50,0,2,5,0
MITSUBISHI MOTORS CORPORATION,0.006894146461422594,11765,10,13,25,0,1,4,0
Nilsson Special Vehicles publ AB,0.0068517921163925785,4669,10,16,23,0,3,0,0
China Automobile Parts Holdings Ltd,0.006453262865003107,4011,7,48,14,0,0,0,0
Hualing Xingma Automobile (Group) Co Ltd,0.00613066365688302,5826,10,92,26,0,0,0,0
China Motor Corporation,0.005956757283662014,8444,13,57,58,0,1,0,0
Dongfeng Motor Group Co. Ltd,0.0057614637105832854,6584,12,48,51,0,2,1,0
Volkswagen AG (ADR),0.005388444037795256,12105,13,11,58,0,0,4,0
Hindustan Motors Limited,0.005293617473090003,10749,13,37,20,0,1,1,0
Spartan Motors Inc,0.005088786761763401,4585,11,1,29,0,4,0,0
"Yulon Motor Co., Ltd.",0.004944953841014197,5282,9,58,19,0,0,0,0
Tofas Turk Otomobil Fabrikasi A.S.,0.004799091529972352,6573,10,60,3,0,0,0,0
Aftab Automobiles Ltd,0.004768364154394321,6575,14,89,82,0,0,0,0
Kandi Technologies Group Inc,0.004595303958262312,7156,20,9,19,0,1,3,0
"Shenyang Jinbei Automotive Co., Ltd.",0.00446965167845163,4249,9,28,33,0,1,0,0
Audi AG,0.004464990055947386,14394,14,22,25,0,0,6,0
Suzuki Motor Corp,0.004305149885641249,25213,10,96,73,0,3,1,0
Lifan Industry (group) Co Ltd,0.0037881016377907953,4784,8,29,24,0,1,0,0
Pak Suzuki Motor Company Ltd,0.0037367164939305173,5702,12,38,5,0,0,2,0
TMT Motor Joint Stock Co,0.0037295688490853484,4656,9,40,21,0,0,0,0
TOYOTA INDUSTRIES CORPORATION,0.003710299276972246,3950,12,24,33,0,0,1,0
Hwashin Precision Co Ltd,0.0035928242245315957,2601,8,24,20,0,0,0,0
Indomobil Sukses Internasional Tbk PT,0.0035090788163115185,2916,7,6,18,0,1,0,0
Maruti Suzuki India Ltd,0.0034468954832258276,18297,14,24,33,0,0,4,0
Nissan Motor Co Ltd (ADR),0.0033556011119685227,7234,9,20,18,0,0,2,0
Beiqi Foton Motor Company Limited,0.003318344900986978,4007,6,17,31,0,1,0,0
Kian Shen Corporation,0.003257946809101897,2168,15,16,20,0,0,0,0
AVTOVAZ OAO,0.003220757202801221,7127,10,45,42,0,0,0,0
VA Automotive i Hassleholm AB,0.0031402024561645696,3967,13,7,37,0,0,1,0
Arctic Cat Inc,0.0029887741220466792,7107,13,0,43,1,0,0,0
Brilliance China Automotive Holding Ltd.,0.0028740512052879024,11793,9,50,179,0,1,0,0
Zhonghang Heibao Co Ltd,0.0028283236729998423,3719,8,11,16,0,1,0,0
Dewan Farooq Motors Ltd.,0.0028111395584290155,2757,10,17,15,0,0,0,0
GHANDHARA INDUSTRIES LIMITED,0.002731041217546979,3140,9,5,67,0,1,0,0
Aerosun Corporation,0.0024689022637356963,3482,9,4,23,0,1,0,0
Karsan Otomotiv Sanayii Ve Ticaret A.S.,0.002392970157668192,4643,11,5,86,0,2,0,0
Force Motors Ltd,0.0023282586899660454,6909,12,18,55,0,1,0,0
CNHTC Jinan Truck Co Ltd,0.00232376681075456,3304,8,6,26,0,1,0,0
Sinotruk (Hong Kong) Limited,0.0021692745086391617,9134,11,22,84,0,1,0,0
"Jiangling Motors Corporation, Ltd.",0.0020040275486639153,13699,9,30,70,0,1,0,0
Great Wall Motor Co Ltd,0.0018114384571588395,6140,26,13,17,0,1,0,0
Honda Atlas Cars (Pakistan) Ltd.,0.0017713858242694,3029,10,16,14,0,0,0,0
BYD Company Limited,0.001750232361099733,3701,9,17,16,0,0,0,0
"Jiangsu Yueda Investment Co., Ltd",0.0015880058962957453,2956,9,13,19,0,0,0,0
Volkswagen AG,0.0015804602193423903,11923,18,15,27,0,0,2,0
Ghandhara Nissan Ltd.,0.0015178331020413067,12797,12,19,187,0,1,0,0
"HYUNDAI MOBIS CO., LTD.",0.001506650327092265,5480,12,20,47,0,0,0,0
"NISSAN SHATAI CO., LTD.",0.0014016829073687312,1804,8,7,11,0,0,0,0
Brilliance China Automotive Hldg. (ADR),0.0012050605747127737,4818,9,12,26,0,0,0,0
AvtoKrAZ PAT,0.0011806015784832408,5169,10,11,27,0,0,0,0
Porsche Automobil Holding SE,0.0011430497730137582,5070,9,16,12,0,0,0,0
Jinxi Axle Company Limited,0.0011113180695451388,3383,10,2,17,0,1,0,0
"Thai Rung Union Car Public Co., Ltd.",0.0010447570438566374,5912,14,13,34,0,0,0,0
Sollers PAO,0.0010317960121936137,2732,8,7,14,0,0,0,0
EXOR SpA,0.0009751887170248204,3095,7,6,8,0,0,0,0
Eicher Motors Ltd,0.0009751369357107454,6562,12,13,61,0,0,0,0
