name,score,document_length,url_count,cobalt,electronic material,electronics,fine chemical,fuel cell,gallium,gold,metal,pharmaceuticals,plating,platinum,polymers,silver,specialty chemical,steel,tantalum,tungsten
Chengdu Huaze Cobalt & Nickl Mtrl Co Ltd,0.8434617460332351,4730,9,57,0,0,0,0,0,6,29,0,0,0,0,3,0,16,0,0
Hyundai Corporation,0.24438225751709983,16264,14,0,0,7,0,28,0,1,1,0,0,0,0,4,0,16,0,0
Nico Steel Holdings Limited,0.2344540099977686,1130,8,0,0,2,0,0,0,0,14,0,7,0,0,0,0,43,0,0
ALCONIX CORPORATION,0.2151105969419125,3478,11,1,1,2,0,0,2,2,55,0,2,0,0,0,0,5,0,4
Loco Hong Kong Holdings Ltd,0.19455751973911098,3338,8,1,0,0,0,0,0,8,33,0,0,0,0,32,0,0,0,1
Scope Metals Group Ltd,0.15865764584349643,5053,12,0,0,8,0,0,0,0,104,0,0,0,0,0,0,61,0,14
SATO SHO-JI CORPORATION,0.15030206288622927,3960,8,0,5,3,0,0,0,0,28,0,0,0,0,0,0,31,0,0
Chengtun Mining Group Co Ltd,0.14833273636278355,4207,9,0,0,0,0,0,0,10,21,0,0,0,0,6,0,18,0,6
China Daye Non Ferrous Metals Mining Ltd,0.05272397851935719,3681,8,0,0,0,0,0,0,13,66,0,0,0,0,10,0,1,0,0
Enerhomashspetsstal' PAT,0.0516624478399054,3968,10,0,0,0,0,0,0,2,20,0,0,0,1,0,2,42,0,0
Central Vietnam Metal Corp,0.04438436098270287,4507,9,0,0,2,1,0,0,1,148,0,0,0,0,0,2,115,0,0
"Shanxi Sanwei Group Co.,Ltd",0.03965506836174467,2995,9,0,0,0,0,0,0,0,5,0,4,0,0,0,0,2,0,0
Pantech Group Holdings Berhad,0.034700688125328505,7663,15,0,0,0,0,0,0,1,10,0,0,4,0,0,0,95,0,0
Kordellos Ch. Bros SA,0.03368665230185068,3359,8,0,0,1,0,0,0,1,28,0,0,0,0,0,0,42,1,0
GS Global Corp,0.031813391132735055,2670,9,0,0,1,2,0,0,0,6,0,0,0,0,0,0,69,0,0
"Minmetals Development Co., Ltd.",0.029050034868406804,3320,11,0,0,3,0,0,0,0,104,0,0,0,0,0,0,45,0,2
Ramkrishna Forgings Limited,0.026881375256831812,5523,9,0,0,0,0,0,0,8,5,0,0,0,1,2,0,8,0,0
Bharat Forge Ltd,0.025919256604071194,5663,10,0,0,1,0,0,0,7,17,0,0,2,0,0,0,20,0,0
Hubei Yangfan Holding Co Ltd,0.025416142227951036,3677,9,0,0,0,0,0,0,1,10,1,0,0,0,0,0,19,0,0
MM Forgings Ltd,0.022357897655632186,3347,8,1,0,1,0,0,0,5,4,0,0,0,0,0,0,32,0,0
AMD Group Investment JSC,0.021562928760948827,5672,9,0,0,3,0,0,0,6,7,0,0,0,0,6,0,3,0,0
Soc Son Development Investment JSC,0.019190505145405937,7067,10,0,0,0,0,0,0,10,12,0,0,0,0,10,0,21,0,0
Cityon Systems (India) Ltd,0.018021969259676533,3900,8,0,0,1,0,0,0,9,0,0,0,0,0,3,0,5,0,0
KANEMATSU CORPORATION,0.01797930211044605,4890,10,0,0,19,0,0,0,0,6,0,0,0,0,1,0,30,0,0
Aseem Global Ltd,0.017214213513811447,3408,8,1,0,0,0,0,0,4,18,0,0,0,0,2,0,2,0,0
UEX Ltd,0.016819553453183245,1904,10,1,0,0,0,0,0,0,19,0,0,0,0,0,0,42,0,0
Guanfu Holdings Co Ltd,0.01644167279028127,3570,9,0,0,1,0,0,0,1,4,0,0,1,0,0,0,3,0,0
A. M. Castle & Co,0.014313328017690996,6922,9,0,0,2,2,0,0,0,78,0,0,0,0,0,0,38,0,0
Son Ha Sai Gon JSC,0.014300306169708963,6580,10,0,0,0,0,0,0,7,23,0,0,0,0,6,0,20,0,0
"Olympic Steel, Inc.",0.012518018028389765,3360,10,0,0,0,0,0,0,0,32,0,0,1,0,0,0,115,0,0
Shinsho Corp,0.012031098215385429,1611,9,0,0,6,0,0,0,0,9,0,0,0,0,0,0,57,0,0
Hochiminh City Metal Corp,0.011825409163367042,5586,10,0,0,0,0,0,0,4,103,0,0,0,0,3,0,75,0,0
Shandong Haitian Linkall Co Ltd,0.009968208047332096,6261,13,0,0,4,0,0,0,9,9,0,0,0,0,1,0,5,0,0
Zhejiang Dongliang New Material Co Ltd,0.009657507850122279,4116,10,0,0,10,0,0,0,3,16,0,0,0,0,0,0,0,0,0
Hariyana Ship Breakers Ltd,0.009533223818533184,4499,8,0,0,1,0,0,0,4,6,0,0,0,0,2,0,9,0,0
Spectra Industries Ltd,0.009465178824703296,5424,12,0,0,1,0,0,0,9,3,0,0,0,0,2,0,9,0,0
