name,score,document_length,url_count,car,engine,industrial,lubricant,lubricate,oil
Castrol India Limited,0.7545766425738709,2927,8,17,28,10,45,1,73
MoresCo Corp,0.4481840554760318,6704,12,26,5,1,108,2,186
Gulf Oil Lubricants India Ltd,0.36637519710749283,4983,10,38,15,28,123,1,234
Nestro Petrol a.d. Banja Luka,0.26485070116781007,5019,10,52,2,1,7,1,23
MJL Bangladesh Ltd,0.07299520995279304,4661,11,36,57,20,83,0,116
Eterna Plc,0.06057426543747721,2400,8,13,25,5,25,0,74
Rafinerija ulja a.d. Modrica,0.04898198198425632,8040,13,12,68,31,31,0,337
AP Oil International Ltd,0.04740998899199106,1759,8,5,19,20,55,0,111
Total Nigeria PLC,0.044661831151184814,4355,9,100,40,7,73,0,39
Fuchs Petrolub SE,0.029000241028796073,2881,12,4,15,8,45,0,37
Jiangsu Gaoke Petrochemical Co Ltd,0.024252210773928216,2071,8,5,11,12,2,0,86
Lanka IOC Limited,0.02355141111113909,8402,16,40,28,23,48,0,208
Total Petroleum Ghana,0.023140667607417686,3754,10,46,20,0,31,0,26
Conoil Plc,0.022861958526244456,3966,12,19,17,14,18,0,183
Jordan Petroleum Refinery Company Ltd.,0.02276469826193503,3267,12,4,14,9,13,0,80
Additives and Petroleum Products JSC,0.020056725762318123,2972,8,9,9,8,4,0,51
Chevron Corporation,0.019567182193968562,14019,10,46,39,25,58,0,350
Makpetrol AD Skopje,0.017869164224525644,3580,9,5,13,2,4,0,59
Tide Water Oil India Ltd,0.017330869595043617,4222,10,11,12,19,21,0,188
Bharat Petroleum Corp Ltd,0.01696319063083306,11146,10,70,17,59,95,0,95
"Phoenix Petroleum Philippines, Inc.",0.016274430464273928,4729,8,28,10,16,21,0,57
Shell Pakistan Limited,0.016110170776172696,11576,12,45,28,4,56,0,231
GP Petroleums Ltd,0.015822551549503513,6008,10,14,9,28,60,0,76
Mobil Oil Nigeria plc,0.014831605695176223,3386,10,16,8,3,13,0,85
MT Gas JSC,0.01322542404072342,1854,5,10,4,3,1,0,7
Parkland Fuel Corp,0.013162868124125145,3664,8,6,8,3,18,0,33
"Idemitsu Kosan Co., Ltd.",0.013064364254502744,7656,13,12,17,11,45,0,369
N1 Hf,0.012582961315310053,2714,9,17,4,10,4,0,14
Total Kenya Limited,0.012516642335489745,4990,10,167,12,13,109,0,50
World Fuel Services Corp,0.012497481282621136,4755,12,35,13,6,8,0,14
Spanjaard Limited,0.012259085210630767,2307,11,34,4,27,33,0,2
Ghana Oil Company Limited,0.012244639128203078,4912,13,25,15,2,24,0,250
"Songwon Industrial Co., Ltd.",0.012038480609253688,2497,10,0,4,24,4,0,3
China Rerun Chemical Group Ltd,0.01095902409476198,2733,9,8,3,21,12,0,28
Siam Pan Group Public Company Limited,0.010776394413033593,1866,12,0,6,0,29,0,22
Petronas Dagangan Berhad,0.010659793814761604,8613,13,158,12,24,70,0,81
Al Maha Petroleum Products Marketing Co.,0.01003446613015257,6192,14,40,11,4,25,0,72
Paz Oil Company Ltd,0.009788005521835253,2914,5,5,5,5,9,0,83
Cosmo Oil Co Ltd,0.009731014750070831,4766,10,6,8,10,13,0,267
Chemtura Corp,0.009511783327110715,4627,10,18,5,17,15,0,1
Grupa Lotos SA,0.009348494699301662,3605,13,32,6,5,4,0,88
PBF Energy Inc,0.008893180009021222,5925,10,55,10,0,8,0,27
Caltex Australia Limited,0.008857030564101922,5542,9,38,6,8,15,0,73
"Nihon Parkerizing Co., Ltd.",0.008414585830052519,4248,12,26,4,10,27,0,11
Showa Shell Sekiyu KK,0.00787089238762113,5429,9,8,6,9,14,0,160
PTT Public Company Limited,0.007782342586960368,5647,9,22,6,12,15,0,84
Forte Oil PLC,0.007489077469634848,5342,10,50,6,10,20,0,241
"SUNAUTAS CO., LTD.",0.0074271310634605285,3463,11,51,6,1,0,0,26
BP Castrol KK,0.0071592020807766605,3073,8,15,4,2,14,0,29
Neste Oyj,0.006935724766494767,4457,14,16,6,1,17,0,131
Ryazan'nefteprodukt OAO (P),0.006933152619948194,3417,6,16,3,1,1,0,6
Michang Oil Ind Co Ltd,0.006520863114547286,3022,9,6,2,16,23,0,87
Hanoi Fuel JSC,0.006438796991139961,4277,10,22,5,2,4,0,33
Southern Waterborne Transport JS Corp,0.006151690479134905,1915,6,9,2,5,1,0,6
S Oil Corp,0.006106700001002563,5644,12,8,5,9,51,0,354
