name,score,document_length,url_count,car,engine,industrial,lubricant,lubricate,oil
Castrol India Limited,0.784009148716306,2929,8,17,28,10,45,1,73
MoresCo Corp,0.4671343461486896,6705,12,26,5,1,108,2,186
Gulf Oil Lubricants India Ltd,0.3824334813309483,4945,10,38,15,28,123,1,233
MJL Bangladesh Ltd,0.07344615006155925,4666,11,36,57,20,83,0,116
Eterna Plc,0.06110940549803705,2400,8,13,25,5,25,0,74
Rafinerija ulja a.d. Modrica,0.054716383217136365,7414,15,12,81,28,33,0,328
Fuchs Petrolub SE,0.02913689674075719,2882,12,4,15,8,45,0,37
Jordan Petroleum Refinery Company Ltd.,0.02819369586204587,3590,12,7,18,11,15,0,98
Jiangsu Gaoke Petrochemical Co Ltd,0.024587904714373998,2082,8,5,11,12,2,0,86
Lanka IOC Limited,0.02380705249724067,8403,16,40,28,23,48,0,208
Conoil Plc,0.02250015892794799,4134,13,19,17,15,19,0,192
Additives and Petroleum Products JSC,0.02030772308235828,2972,8,9,9,8,4,0,51
Total Petroleum Ghana,0.020219255496865606,3782,10,59,17,1,39,0,23
Chevron Corporation,0.019838006989572797,14020,10,46,39,25,58,0,350
Tide Water Oil India Ltd,0.017690741820518583,4219,10,11,12,19,21,0,188
Bharat Petroleum Corp Ltd,0.016689178420129746,12829,12,78,17,77,112,0,110
"Phoenix Petroleum Philippines, Inc.",0.016362209908630226,4728,8,28,10,16,21,0,57
GP Petroleums Ltd,0.015844488067292734,6108,10,15,9,30,61,0,90
Shell Pakistan Limited,0.015366138624005354,11273,12,44,25,5,53,0,222
Mobil Oil Nigeria plc,0.015016044301656938,3391,10,16,8,3,13,0,84
"Idemitsu Kosan Co., Ltd.",0.0141362799434946,6971,11,12,17,11,42,0,363
Neste Oyj,0.013968660195812546,4545,13,19,11,3,16,0,129
MT Gas JSC,0.013283822387064732,1854,5,10,4,3,1,0,7
Petronas Dagangan Berhad,0.012880231275196795,13504,15,199,25,23,81,0,222
N1 Hf,0.012614471854874859,2714,9,17,4,10,4,0,14
World Fuel Services Corp,0.012524043293652462,4755,12,35,13,6,8,0,14
Ghana Oil Company Limited,0.012515959267000061,4915,13,25,15,2,24,0,250
Siam Pan Group Public Company Limited,0.010807693033525377,1866,12,0,6,0,29,0,22
Cosmo Oil Co Ltd,0.010133809812920315,4765,10,6,8,10,13,0,267
Al Maha Petroleum Products Marketing Co.,0.010075458944120229,6197,14,40,11,4,25,0,72
Paz Oil Company Ltd,0.010036964994553423,2906,5,5,5,5,9,0,82
Caltex Australia Limited,0.008897902797766219,5543,9,38,6,8,15,0,73
PBF Energy Inc,0.008864389753925886,5925,10,55,10,0,8,0,27
Showa Shell Sekiyu KK,0.008490008842773917,6331,14,8,7,12,23,0,174
BP Castrol KK,0.008352012039412191,3604,9,16,4,4,18,0,33
PTT Public Company Limited,0.007876339438726543,5647,9,22,6,12,15,0,84
Forte Oil PLC,0.007697776035379587,5345,10,51,6,10,20,0,241
China Rerun Chemical Group Ltd,0.0076764087173288266,4855,9,13,3,23,19,0,36
S Oil Corp,0.00758287912823441,6318,13,11,7,10,52,0,381
Michang Oil Ind Co Ltd,0.006665784469264843,3028,9,6,2,16,23,0,86
ELINOIL Hellenic Petroleum Company S.A.,0.00598627776891011,7282,10,12,7,14,48,0,137
Slavneft'-Yaroslavnefteorgsintez OAO,0.00596461740652949,3237,9,12,3,6,2,0,55
Southern Waterborne Transport JS Corp,0.005952146212850171,1909,6,9,2,4,1,0,6
Grupa Lotos SA,0.005053011513272198,4044,14,30,3,5,4,0,76
SK Innovation Co Ltd,0.004865400187397068,8495,13,14,6,4,38,0,93
The Bangchak Petroleum Public Co. Ltd.,0.004645660214335801,3595,8,18,2,8,6,0,51
Petrolina (Holdings) Public Ltd,0.004546128470008228,2836,11,4,2,10,11,0,19
KenolKobil Ltd,0.004397510011818122,4070,13,65,2,6,37,0,42
Petrolimex Petrochemical Corporation JSC,0.004179477087171374,6802,10,40,7,0,19,0,34
Esso (Thailand) PCL,0.0041691067877010265,6483,13,26,3,5,17,0,58
IRPC Public Company Limited,0.004054146317230814,7043,10,21,3,18,5,0,64
