name,score,document_length,url_count,cable,rental,telecommunications
First Media Tbk PT,0.5658258910764162,8203,12,73,27,1
Intouch Holdings PCL,0.2871452906216802,4629,9,1,8,3
iiNet Limited,0.2847742097495949,4386,13,11,10,0
Aly Energy Services Inc,0.2574140688561599,3620,11,0,19,0
XL Axiata Tbk PT,0.2273824748677127,2551,7,10,3,4
True Corporation PCL,0.2038123911412593,4486,8,10,5,6
Oman Telecommunications Co SAOG,0.20243549750692852,4329,13,7,4,9
Idea Cellular Ltd,0.2020183275971533,7210,9,6,6,3
Jasmine International Public Company Ltd,0.18846730193048813,4402,10,9,7,2
AdEPT Telecom plc,0.1622023917504725,2931,9,0,8,0
Emirates Integrated Telecmnctns Com PJSC,0.13158662675077676,4064,9,0,4,3
Time Dotcom Bhd,0.10963419235013849,8529,12,15,6,0
Nos SGPS SA,0.09956969584863332,4723,9,20,2,4
Altice NV,0.09915839178943393,120867,10,1142,25,0
Jiangsu Brdcstg Cbl Infrn Ntwrk Corp Ltd,0.09616474772823803,4602,10,31,1,4
Commscope Holding Company Inc,0.09463133140768425,46673,15,1838,0,0
Vonex Ltd,0.08849119769095395,2758,11,2,4,0
Cellnex Telecom SA,0.0834221977734879,3131,10,0,5,2
Cable and Wireless Jamaica Limited,0.08150768114246125,4867,8,162,0,0
Telefonica Brasil SA,0.0786675219438818,3506,8,5,2,4
Rostelekom PAO,0.07833620891286898,6137,17,64,0,6
KT Corp (ADR),0.07771833314748383,7823,10,1,6,0
Comcast Corporation,0.07659741522217275,18639,16,197,1,1
MNI SA,0.07488799885719381,6929,9,2,6,0
Emirates Telecommunications Grop Co PJSC,0.07054873387671064,8362,14,14,4,2
Infrastrutture Wireless Italiane SpA,0.06302837722133876,2183,7,0,2,3
Sudatel Telecom Group Ltd,0.06148329462438417,5894,8,14,1,10
KT Corp,0.059307114240237845,65283,10,157,11,3
Kazakhtelekom AO,0.05838698192742163,4747,8,6,2,5
Telenet Group Holding NV,0.057513437056922266,4626,9,44,0,4
Shenandoah Telecommunications Company,0.05424275030876146,4432,10,45,0,4
Telekom Malaysia Berhad,0.050812985743212545,6444,10,13,1,3
Singapore Telecommunications Limited,0.050284616184801526,8229,8,24,1,3
Asiacell Communications PJSC,0.05011877504091087,4279,6,5,2,1
Otelco Inc,0.04928255044871389,2809,12,3,2,2
Quadrant Televentures Ltd,0.048192852049930006,4954,10,3,1,4
Internet Gold Golden Lines Ltd,0.04818772071056678,6311,9,8,2,3
Orange Egypt for Telecommunications SAE,0.04718106739605389,6500,9,3,2,6
Nippon Telegraph And Telephone Corp,0.04713553880250408,4354,8,5,1,8
Maintel Holdings plc,0.0467850652738817,4012,9,0,3,0
SFR Group SA,0.04667749940977999,3572,9,30,0,3
Mobile Telecommunications Ltd,0.04571527344310073,3679,8,21,0,4
FairPoint Communications Inc,0.04296280003625286,10691,13,29,1,3
OT Optima Telekom dd,0.04243583927569314,3477,8,1,1,4
Cincinnati Bell Inc.,0.04206047069366309,9203,9,33,1,4
Telesites SAB de CV,0.03825376961699224,28259,9,70,5,2
GO plc,0.037971262217625985,10298,8,52,0,4
Nippon Telegraph & Telephone Corp (ADR),0.03654857974542364,4496,9,1,1,4
Proximus NV,0.03610177688190646,8143,18,9,1,8
Telecom plus PLC,0.03509579434619277,3687,8,5,1,0
PCCW Ltd (ADR),0.03304509351407781,4158,10,3,2,0
M1 Ltd,0.03113033773358505,4180,14,1,1,1
Millicom International Cellular SA (USA),0.030323120355613197,8108,14,37,0,4
"General Communication, Inc.",0.02988993265344846,6344,11,54,0,2
ATM SA,0.029675607292892446,6365,9,2,3,0
PLDT Inc,0.02832929742161089,7457,13,9,1,3
Bahnhof AB (publ),0.0281836047299231,2335,8,1,1,0
Partner Communications Company Ltd,0.027901466581505337,4123,7,3,1,2
"Chunghwa Telecom Co., Ltd",0.02750506169537694,6406,13,12,1,1
Hrvatski Telekom dd,0.027291964977986687,6015,10,3,1,1
Orascom Telcom Media and Tech Hold SAE,0.026444712248021186,4213,10,15,0,6
Allied Electronics Corporation Limited,0.02603306820143509,8977,12,51,0,3
Maroc Telecom SA,0.02570848674649296,8576,17,3,2,3
Jasmine Telecom Systems PCL,0.025389649936777524,6484,13,2,3,2
Com Hem Holding AB,0.025080288809896864,5119,15,17,0,5
NTT Docomo Inc,0.024362534900737157,792,1,0,1,0
Keyyo,0.024018404241448917,3447,10,11,0,4
SK Telecom Co Ltd,0.024001082666630282,75059,10,110,3,3
HKT Trust,0.023258608424748067,5247,13,18,0,4
Tele Columbus AG,0.022361999002190134,5408,9,40,0,0
ATN International Inc,0.02192268181097569,3676,11,9,0,6
Mahanagar Telephone Nigam Ltd,0.021732760254560713,5860,13,2,1,3
Vodafone Group plc,0.02155032688224175,18566,16,30,1,3
China Mobile Ltd.,0.021510896579085215,8129,9,11,2,2
Rai Way SpA,0.021210792875978438,2911,9,1,2,0
Telekomunikasi Indonesia (Persor) Tbk PT,0.02119462167404635,83511,9,89,4,4
Euskaltel SA,0.02110398043931444,3459,8,18,0,2
Fjarskipti hf,0.020701200534850306,2912,10,3,0,8
Kcell AO,0.020576323237120202,6254,13,2,1,10
Ukrtelekom PAT,0.019861631394719862,5215,8,1,2,0
M2 Group Ltd,0.01965007288409473,2931,9,1,2,2
Taiwan Mobile Co Ltd,0.019554859181627787,4896,13,13,0,4
Manitoba Telecom Services Inc,0.01926024963354949,6156,9,19,0,3
Empresa de Telecomunicaciones de Bogota,0.01915123365428032,6300,10,3,1,0
Telefonica SA,0.018873821216569366,19773,14,7,1,12
PCCW Ltd,0.018818855955397992,5359,8,13,0,3
LG Uplus Corp,0.018216440047156435,3255,8,7,0,4
Siminn hf,0.0180016336436646,5881,9,20,0,1
Telxius Telecom SA,0.017951851468870794,5192,10,32,0,2
Uniserve Communications Corporation,0.017295641917403896,3825,12,23,0,0
Link Net Tbk PT,0.01724168222364757,3434,12,18,0,2
GlobalCom Telecommunications Plc,0.017120077409265293,4562,10,15,0,1
"Asia Pacific Telecom Co.,Ltd.",0.016524477490909496,4372,10,6,0,7
Mobile Telecommunications Company KSCP,0.015724626485169677,5187,9,7,0,10
Millicom International Cellular SA(SWE),0.015444551342291352,5102,9,24,0,0
Infosat Telecom SA,0.015265805823480439,2948,10,3,0,5
HELLENIC TELECOM. ORGANIZATION S.A.,0.01504061865307043,10820,13,1,1,4
Symphony Communication PCL,0.0148690679763893,5071,11,7,0,4
Centurylink Inc,0.01480632659909379,7062,10,8,1,0
Telefonica del Peru S.A.A.,0.014795679172475651,3294,9,5,0,4
Palestinian Telecommunications Company,0.014608787718752602,9167,12,8,0,12
Qwest Corporation,0.01457705885476703,9147,10,17,0,5
Makedonski Telekom AD Skopje,0.014561458797096522,4787,9,1,1,2
Allot Communications Ltd,0.014222902440274415,4470,12,2,2,1
Tata Communications Limited,0.013650540591871305,12187,14,28,0,3
Reliance Communications Ltd,0.013518137534941643,10318,13,15,0,7
Pakistan Telecommunication Company Ltd.,0.013385902209942773,7015,13,11,0,5
Alaska Communications Systems Group Inc,0.012988423268426873,3094,8,5,0,4
Bezeq the Israeli Telecomunictn Corp Ltd,0.012669797645324526,5062,13,8,0,3
StarHub Ltd.,0.012652357811349466,4902,7,23,0,2
