name,score,document_length,url_count,stainless,stainless steel angle,stainless steel chequered plate,stainless steel coil,stainless steel flat bar,stainless steel polishing,stainless steel sheet,stainless steel strip
Chain Chon Industrial Co Ltd,0.9938750632784602,3514,14,139,23,1,39,29,23,37,23
Yuen Chang Stainless Steel Co Ltd,0.07583946578609058,2359,9,76,0,0,8,1,0,8,6
Real Strips Ltd,0.06238232278693165,3801,7,9,0,0,15,0,0,0,15
YC Inox Co Ltd,0.027957317265342996,1393,6,40,3,0,2,2,0,2,0
"NIPPON KINZOKU CO., LTD.",0.0247142221273509,3379,9,19,0,0,0,0,0,0,13
"Sinkang Industries Co., Ltd",0.016112940277304998,4014,9,41,0,0,2,0,0,10,1
Froch Enterprise Co Ltd,0.014086021686980895,2123,9,29,2,0,3,0,0,0,0
MORY INDUSTRIES INC.,0.013771023126507093,3457,10,58,0,0,0,7,0,0,0
Yieh United Steel Corp.,0.010593518038703415,2004,10,45,0,0,4,0,0,3,0
Gyscoal Alloys Limited,0.00931522302492862,5281,8,32,2,0,0,3,0,0,0
Yongxin International Holdings Ltd.,0.008393323610044051,3626,9,1,0,0,0,0,0,0,7
POSCO-Thainox PCL,0.007488319552003786,2389,10,45,0,0,4,0,0,1,0
Shah Alloys Ltd.,0.006616282411393545,3481,10,38,2,0,2,1,0,0,0
Chien Shing Stainless Steel Co Ltd,0.006033883039273777,3559,10,56,0,0,6,0,0,0,0
Ryerson Holding Corp,0.004972064897986532,3886,10,5,0,0,0,0,0,8,0
Jindal Stainless Ltd,0.004540832200507532,2509,10,130,0,0,1,0,0,1,1
Daiyang Metal Co Ltd,0.00440652475219383,1647,8,10,0,0,0,0,0,1,1
Kim Vi Inox Import Export Production JSC,0.003098216307086302,5084,11,77,0,0,5,0,0,0,0
"Shanxi Taigang Stainless Steel Co., Ltd",0.0030027456910635226,3835,9,135,0,0,3,0,0,2,0
Lohakit Metal PCL,0.002896008619669657,4641,10,33,0,0,0,0,0,4,0
Tatt Giap Group Berhad,0.002817508364999623,5344,10,41,0,0,4,0,0,0,0
SonHa International Corp,0.002676577348202968,2606,10,49,0,0,0,2,0,0,0
TAKASAGO TEKKO K.K.,0.0026481803489002208,2853,9,42,0,0,2,0,0,0,1
Dniprospetsstal' PAT,0.0016416478649456758,5508,9,26,0,0,1,0,0,2,0
Prakash Steelage Limited,0.0011152047474479846,3414,6,11,0,0,0,0,0,2,0
Jindal Stainless Ltd (Parent),0.001052810378951191,3681,10,161,0,0,0,0,0,0,1
Argent Industrial Limited,0.0008397016747929762,3465,8,3,0,0,0,0,0,1,0
AnnAik Limited,0.0008257344366336757,2076,12,38,0,0,0,0,0,1,0
Mayer Steel Pipe Corporation,0.0007901587838112712,2428,9,7,0,0,0,0,0,2,0
Yieh Hsing Enterprise Co Ltd,0.0007818941086724356,3858,10,45,0,0,2,0,0,0,0
Hsin Kuang Steel Co. Ltd.,0.0006839458054142414,4237,9,8,0,0,2,0,0,0,0
Acerinox SA,0.0006774063755552643,3440,6,74,0,0,1,0,0,0,0
Outokumpu Oyj,0.0005937850715753227,3984,11,94,0,0,1,0,0,0,0
Hyundai BNG Steel Co Ltd,0.0005564548132548427,4042,14,30,0,0,0,0,0,1,0
"Sanyo Special Steel Co., Ltd.",0.0005028741865194752,3159,12,23,0,0,0,0,0,1,0
