name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
C SUN MFG. LTD.,0.46502823797757287,2975,9,0,1,5,1,23,3,17,4
Frencken Group Limited,0.40629378831767166,2061,9,3,0,0,3,5,4,4,0
Eclat Forever Machinery Co Ltd,0.30219624153982305,3528,12,0,1,2,2,4,5,16,13
"AMPOC FAR-EAST CO.,LTD",0.23612275733392685,2402,12,0,2,3,0,12,6,15,2
Aurotek Corp,0.2330302415468749,6729,12,1,0,0,0,89,0,9,3
Charm Engineering Co Ltd,0.22731457655166523,3233,9,0,6,21,0,5,0,23,0
Symtek Automation Asia Co Ltd,0.22329071463646638,2743,10,0,1,5,1,8,3,7,2
Precisetech Networks Beijing Inc,0.21122631758690652,201222,8,88,0,4,6,46,5,50,39
SHIBAURA MECHATRONICS CORPORATION,0.19794195149807184,3168,10,0,0,87,0,0,0,58,5
Ta Liang Technology Co Ltd,0.1743582502681888,2438,9,0,0,0,0,22,2,1,4
Usun Technology Co Ltd,0.17390422372405004,3419,10,0,2,10,1,6,2,9,1
Kctech Co Ltd,0.14552847082335,2115,12,0,2,6,4,0,0,27,0
Tokyo Electron Ltd,0.12213476342363613,5943,13,2,14,7,0,0,0,53,0
E&R Engineering Corp,0.11988612240713059,3645,12,0,0,0,0,1,4,15,8
Avaco Co Ltd,0.10851440301105823,2368,9,0,6,6,0,0,0,6,0
"Gongin Precision Industrial Co.,Ltd",0.10465331320636914,2279,9,1,0,0,4,0,0,17,0
Screen Holdings Co Ltd,0.10266751988978289,3882,12,0,3,5,0,3,4,33,0
"SHINSUNG FA CO., LTD.",0.0956526255978356,3360,9,0,5,9,0,0,0,19,1
Ishii Hyoki Co Ltd,0.09121914691225931,3055,13,1,0,1,0,4,2,16,1
Taiwan Kong King Co Ltd,0.07737009548598628,7605,12,0,0,1,0,16,4,15,0
Marketech International Corp.,0.07488596121638591,2569,9,0,0,11,0,0,0,1,3
"EO Technics Co., Ltd.",0.07191140708471074,2563,13,0,0,2,0,23,0,29,0
Seho Robot Co Ltd,0.06357728458832362,2742,12,0,0,0,0,6,3,8,0
"Jusung Engineering Co., Ltd.",0.058544414236926266,3412,12,0,1,1,4,0,0,37,0
"Key Ware Electronics Co., Ltd.",0.05728690506202365,4261,9,2,0,0,0,4,3,0,0
"Topoint Technology Co., Ltd.",0.055254929048425064,3598,10,0,0,0,0,12,4,2,0
"Osaki Engineering Co., Ltd.",0.05450343445276855,3917,12,0,3,2,0,1,3,10,0
"DMS Co., LTD.",0.05214716077272732,2574,8,0,0,2,4,0,0,9,0
Chime Ball Technology Co Ltd,0.050916301949082886,4585,9,0,0,0,0,4,2,15,3
All Ring Tech Co Ltd,0.050420253948331946,2040,9,0,0,1,1,2,0,8,1
"Chien Wei Precise Technology Co., Ltd.",0.04986854757851309,3447,12,0,0,0,4,1,1,5,0
AIXTRON SE,0.04766659294158414,5551,9,0,0,0,6,0,0,39,0
Tera Autotech Corp,0.04708912166362783,2417,14,0,0,0,0,11,0,3,0
Meere Company Inc,0.04492251781589487,2865,11,0,0,0,4,0,0,20,2
DSK CO LTD,0.04395133738892463,2282,7,0,2,2,0,4,2,4,0
Zeus Co Ltd,0.04286847533855083,2585,8,0,1,7,0,0,0,24,0
STI Co Ltd,0.0400094927284669,2102,8,0,0,6,0,1,0,17,0
Guangdong Zhengye Technology Co Ltd,0.03893983368857532,5305,10,0,0,0,0,46,0,0,0
RORZE CORPORATION,0.03366690846131663,2701,12,0,2,4,0,0,0,12,0
Juki Corp,0.032998394899852346,3168,13,0,0,0,7,1,0,0,0
Kodi M Co Ltd,0.032507023041781644,2857,9,0,2,5,0,0,0,18,0
