name,score,document_length,url_count,electronic,interface 
Beijing ZXT Sftwre Scince & Tchly Co Ltd,0.3751413035389767,1378,5,4,6
ifa systems AG,0.33342265647916597,3544,11,18,18
"Synopsys, Inc.",0.3145410133435615,13008,9,61,57
Hightech Payment Systems SA,0.2919767198127695,5543,14,14,17
B-Scada Inc,0.23724588140411856,21088,10,7,57
Cecurity.com SA,0.20063367870021462,3894,10,10,8
"Techno Mathematical Co., Ltd.",0.1878404711054114,4545,12,7,8
Chengdu Guangda Electronic Co Ltd,0.1769296848290377,4045,11,32,6
Softing AG,0.17286445949639967,3124,5,13,6
EASY SOFTWARE AG,0.17146701032277786,10034,9,3,18
Smart Information Technology Golbal,0.1651926717211068,13243,9,7,22
Orion Health Group Ltd,0.16501812625983997,6867,15,5,14
Skkynet Cloud Systems Inc,0.14979732521345002,3529,7,3,6
Tradelink Electronic Commerce Ltd,0.13756944673049337,3056,12,59,3
Bit Computer Co Ltd,0.12879629690261848,11990,9,28,12
Tobe Soft Co Ltd,0.1286034137655342,2782,13,1,5
Fabasoft AG,0.11197662218238892,2414,8,8,3
Aplix IP Holdings Corp,0.10889651957459545,2547,7,12,3
Inspur Software Co Ltd,0.1088851574714319,6578,13,12,8
Digia Oyj,0.10885675935738205,4967,9,8,5
Jacada Ltd.,0.10846991467481042,8365,11,0,21
Zuken Elmic Inc,0.10166508585255721,2617,9,4,3
Mentor Graphics Corp,0.08969234725241997,9207,10,64,9
APEX Intl Financl Engg Res & Tech Co Ltd,0.08753145487108746,5857,8,9,5
Authentidate Holding Corp.,0.077322869959759,7877,8,22,5
Future Developer Technology Co Ltd,0.07558152596606726,6523,9,3,4
Cadence Design Systems Inc,0.07489941291369376,20883,12,39,20
Sobal Corporation,0.07336651224341609,5428,11,4,4
System Integrator Corp.,0.07064315895170901,4820,10,2,7
Kambi Group PLC,0.06917734449459433,3749,8,0,6
Beijing Consmation Science & Tech Co Ltd,0.06350970458298542,4629,10,4,3
OPENLiMiT Holding AG,0.0616999780658343,7021,13,47,3
CardioComm Solutions Inc,0.06052797669680694,5070,11,2,8
MiTAC Inc.,0.05811658442024713,5119,9,16,3
Axway Software SA,0.057049584147451766,7672,12,2,8
Genesis Technology Inc,0.05598104989817296,5392,16,4,3
SOFTBANK TECHNOLOGY CORP.,0.05587577881393411,5965,7,19,3
Medical Transcription Billing Corp,0.05394819626497709,6686,11,28,3
Gopher Protocol Inc,0.05083562082760462,9284,11,11,5
ACI Worldwide Inc,0.04908639644344309,7258,13,38,4
eBizware Inc,0.04872568018393296,11176,8,7,5
Jive Software Inc,0.04810777096871882,5652,12,0,7
Hubwoo SA,0.0460451946950021,6342,14,4,3
Moovly Media Inc,0.045241439170393145,4144,8,1,3
Omni Market Tide Ltd,0.04399748440659032,3037,11,0,3
Electronic Data Processing plc,0.04380324367067406,3813,8,35,1
"Quality Systems, Inc.",0.04305367573257631,7940,13,21,3
Insyde Software Corp.,0.042892949680944245,3674,11,2,4
Opower Inc,0.04217941043146226,5286,8,0,5
8K Miles Software Services Ltd,0.04207825690721058,1921,9,3,2
Xunlei Ltd,0.04153675948252021,10017,13,3,4
Alten SA,0.04134248041726372,8102,18,15,4
Cyberark Software Ltd,0.03986618047334314,6777,12,0,6
Mobile & Commerce Solutions PLC,0.038182696942697,7093,11,10,3
Zendesk Inc,0.035868018390941774,17796,14,1,13
M2M Group SA,0.03549501827405229,2738,8,7,1
"FalconStor Software, Inc.",0.03492957869579225,6690,11,0,5
Qwick Media Inc,0.03473161097363473,5054,9,0,4
QHR Corp,0.03466417038564052,3217,10,18,2
SLYCE Inc,0.034336649255092555,5431,12,0,4
Marin Software Inc,0.034320680049191296,7127,11,0,5
"Initech Co., Ltd.",0.03419965860704653,2218,11,6,1
Sinosun Technology Co Ltd,0.033081006996302786,3249,10,12,2
Jedat Inc.,0.03287797283888111,2092,7,6,1
Lockbox Link Inc,0.03202074986134256,3092,8,3,2
"FueTrek Co., Ltd.",0.0318015729557318,2821,8,4,2
Fujitsu Ltd,0.030855031770684754,18462,20,84,5
GMO Pepabo Inc,0.030657576200748226,2545,8,3,2
eServGlobal Limited,0.030391236279108193,2344,6,3,1
XcelMobility Inc,0.028251939325846458,3022,8,3,1
Splunk Inc,0.027597492560938672,9184,13,0,7
Teledyne Technologies Incorporated,0.026834067341891855,5413,7,67,1
Information Analysis Incorporated,0.02598515323202314,2803,13,9,1
SKH Consortium Bhd,0.025960937528341665,2992,8,6,1
Neusoft Corporation,0.02595363003173353,4343,10,27,2
"DIOTEK CO.,LTD",0.024446690816700766,4743,14,27,2
Varonis Systems Inc,0.02379212397438772,6368,11,0,3
Mexter Technology Berhad,0.02365245849626417,4210,9,12,1
Zuken Inc,0.0234949151179077,6113,11,52,2
"International Automated Systems, Inc.",0.02339574033071687,3248,9,3,1
Beijing NJA Information Technolgy Co Ltd,0.023394303685291593,2650,10,6,1
Five9 Inc,0.02329495916325165,7071,10,0,5
G-treeBNT Co Ltd,0.023109686886534704,3808,8,3,1
Synthesis Electronic Technology Co Ltd,0.02227595067039756,4322,9,91,0
Fineart Technology Co Ltd,0.022146264338711186,4391,12,4,2
"Yunnan Nantian Electronics Info Co.,Ltd.",0.021731531240831804,2618,8,65,0
"Cybernet Systems Co.,Ltd.,",0.021714692301085456,3660,10,10,1
GHL Systems Bhd,0.020946255282784976,3956,10,4,1
Qt Group Oyj,0.02089083792728177,4181,7,4,2
DGA SA,0.018353211969307018,4938,8,4,1
Prologue SA,0.017928119252899884,5598,9,3,1
RIKEI CORPORATION,0.017256501020230852,2889,12,50,0
Censof Holdings Bhd,0.016838728715551643,5812,11,8,1
NeuLion Inc,0.016157503730891875,5295,13,17,1
Medidata Solutions Inc,0.01615265399211566,5762,10,3,2
"VASCO Data Security International, Inc.",0.015801750013844134,5387,9,16,1
FormPipe Software AB,0.015800408409946808,3663,10,6,1
"ANSYS, Inc.",0.015721172600161117,4438,9,10,1
NXT-ID Inc,0.015490110032811491,5678,9,5,1
R S Software (India) Ltd,0.01488019367116665,7843,10,26,2
MDS Technology Co Ltd,0.014037533582377705,7118,10,16,2
Electronic Arts Inc.,0.013839568001613687,27472,12,203,1
Rsupport Co Ltd,0.013749854296549572,2723,9,1,1
Cloud Security Corp,0.013544258472548103,2766,9,1,1
Atos SE,0.01336284433153602,8051,11,16,1
Mobile Tornado Group Plc,0.01333822317663836,3618,11,1,2
EFT Canada Inc,0.012605136640660547,7115,13,78,0
Findex Inc,0.012601741595878038,3734,9,1,1
Rong Zhi Tong Technology Beijing Co Ltd,0.012138157954172902,17626,8,188,0
Allscripts Healthcare Solutions Inc,0.01152222244825615,7643,12,19,1
Global Graphics SE,0.011342923018225983,6684,9,13,1
Liberated Syndication Inc,0.0108926286231803,4607,8,1,2
Netbay PCL,0.010507017595029972,2707,11,29,0
First Data Corp,0.010460147102248567,5382,7,4,1
FCS Software Solutions Limited,0.01039939516758236,4489,8,1,1
"JAPAN THIRD PARTY CO., LTD.",0.010186867041013223,2019,7,0,1
Rain Intelligent Suzhou Co Ltd,0.009942985891878543,4816,9,5,1
"QiMing Information Technology Co., Ltd",0.009888486954384315,3011,7,29,0
"BroadVision, Inc.",0.008423277199834113,3596,11,2,1
Secunet Security Networks AG,0.007941920640523098,2652,8,2,1
"Klever Marketing, Inc.",0.0077896646682030415,2017,9,0,1
Emis Group Plc,0.007714236210140264,2424,12,2,1
Serma Technologies SA,0.00749472466407792,4725,13,33,0
Tec Toy S.A.,0.007248450024578633,5156,12,28,0
Beyondsoft Corp,0.007199359975196951,3491,11,0,1
"TSUZUKI DENKI CO., LTD.",0.007072246195143378,3898,13,26,0
Softship AG,0.006784236283929409,3820,7,2,1
Chinasing Investment Holdings Limited,0.006435778276768879,3054,7,22,0
Wonders Information Co Ltd,0.0064066690940752175,2868,10,2,1
Basware Oyj,0.006131059849254362,4123,10,2,1
Shenzhen Youkang Health Mangmnt Co Ltd,0.006051896446534938,14195,8,142,0
Eqube Gaming Ltd,0.0059169964175364844,4062,8,25,0
Twilio Inc,0.005895643409663075,4146,9,0,1
Fiserv Inc,0.0058510577926940465,4791,12,25,0
Workday Inc,0.0057690449828616186,8467,15,1,1
Korea Information Certificate Athrty Inc,0.005751010551123069,2753,8,13,0
Jian ePayment Systems Ltd,0.005739954731175309,2872,6,14,0
Imprivata Inc,0.005568506696921154,27475,11,75,2
ORT Technologies Ltd,0.005496236261535817,2615,9,14,0
KL-Net Corp,0.005424758342553801,3616,11,18,0
Glodon Science and Technology Co Ltd,0.005189190094090666,4396,11,0,1
Softcreate Holdings Corp,0.005077066274787226,2320,12,11,0
ProntoForms Corp,0.005024061338674123,3995,11,0,1
Beijing Boya-yingjie Scnc & Tech Co Ltd,0.004857325490829482,73222,6,87,9
Keyware Technologies NV,0.004646012808683012,1473,7,10,0
Jackpot Digital Inc,0.004307261629370097,3286,7,21,0
Digimarc Corp,0.004244576088407154,5549,11,2,1
Direct Insite Corporation,0.004114609610681526,3085,7,11,0
Solekia Ltd,0.004093689876863316,2833,7,9,0
Seamless Distribution AB,0.0038315581692444263,3127,8,13,0
"DuzonBizon Co., Ltd.",0.0037913812891039824,4131,9,13,0
INNOTECH CORPORATION,0.0037827807787103244,3047,13,9,0
Medical Information Technology Inc,0.00369747123514924,7845,14,22,0
Touchcorp Ltd,0.0035707862523450444,3031,9,9,0
OPTeam SA,0.0034745435830990413,5595,9,15,0
Nexia Health Technologies Inc,0.00345185784063298,2988,9,9,0
Beijing Beida Jade Bird Universal SciTch,0.003358712460514758,5096,8,16,0
Jorudan Co. Ltd.,0.003350267721230372,967,12,4,0
"SYSTEMS DESIGN Co., Ltd.",0.003303259774670005,2683,7,7,0
TravelSky Technology Limited,0.0031792217121761595,3819,7,14,0
CubeItg SA,0.003157925554891174,6058,10,13,0
TTG Fintech Ltd,0.00310781961895035,3088,9,7,0
"INFOvine co., Ltd.",0.002986648327834054,2614,10,8,0
Stealth Technologies Inc,0.002984941102913339,4386,10,12,0
PUC Founder (MSC) Berhad,0.0029271918045796082,4063,8,9,0
Flight Holdings Inc,0.002872152468193895,3173,8,8,0
"Daheng New Epoch Technology, Inc.",0.0027349272714234365,2362,9,7,0
ArtSpark Holdings Inc,0.002726928103158482,3570,9,9,0
"Fujian Newland Computer Co., Ltd.",0.002699313088492057,2656,8,7,0
"Alternet Systems, Inc.",0.0026637055089293706,3609,8,8,0
ND Software Co Ltd,0.0025214157221378863,2394,10,6,0
UB Care Co Ltd,0.0025025908446459012,5631,12,11,0
"Shanghai Hi-Tech Control System Co., Ltd",0.002492411416809057,1888,7,5,0
Softmax Co Ltd,0.0024827151515462837,3470,11,7,0
Connect Group NV,0.0024286792663240995,4026,12,9,0
Beijing Dezeal Electronic Co Ltd,0.002400412007555752,3912,5,13,0
Ubiquitous Corporation,0.0023616800548165967,2889,9,7,0
Shanghai Yanhua Smartech Group Co Ltd,0.0022531751180889393,2431,8,5,0
Beijing Kingtop Technology Co Ltd,0.0022255361842352015,2262,7,5,0
CommerceHub Inc,0.002219788794736142,3224,9,6,0
Clydestone (Ghana) Limited,0.002113907734799385,2281,10,5,0
"HYWEB TECHNOLOGY CO., LTD.",0.002003199467925676,1822,9,4,0
"SOPHIA HOLDINGS CO., LTD.",0.0019616861695567335,2525,12,5,0
ChannelAdvisor Corp,0.001953321534804438,4276,11,9,0
Compugroup Medical SE,0.0019240080877504409,4736,14,13,0
Vape Holdings Inc,0.0019230786147341904,5987,9,10,0
"YLZ Information Technology Co., Ltd",0.0019194587097812151,2781,8,5,0
UT Group Co Ltd,0.001891463434342903,3534,8,6,0
Kingwaytek Technology Co Ltd,0.0018812131813043486,3863,13,6,0
Medical Columbus AG,0.0018701341027524796,2746,9,4,0
Nova MSC Bhd,0.0018669587447499717,7065,12,8,0
Clavister Holding AB,0.0018654195364089974,11898,10,0,1
New Trend International Logis Tech CoLtd,0.0018646869505725364,4017,9,7,0
VPR Brands LP,0.0018325624628646058,4215,9,7,0
Smartpay Holdings Ltd,0.0017924630883900702,2479,9,4,0
China Public Procurement Limited,0.0017517426358247359,7016,9,11,0
Gemalto NV,0.0017326767021791669,5581,7,8,0
Founder Holdings Limited,0.0017227896339510752,3455,9,6,0
Medefile International Inc,0.0017185683430268684,11309,8,21,0
"Fujian Rongji Software Co., Ltd.",0.0016194536446720567,3545,8,5,0
"JFE Systems, Inc.",0.0016048895910487468,3884,9,7,0
Proactis Holdings Plc,0.0015687230281712756,4325,8,5,0
Advanced Information Technology PCL,0.0015661901234877674,2687,7,4,0
K WAY INFORMATION CORPORATION,0.0014938856181929139,5468,9,6,0
M.L.S. Multimedia S.A.,0.0014879043081877784,5085,9,7,0
Kainos Group PLC,0.001418500643841895,8663,13,11,0
Careland Corp,0.0013457214441171244,4430,12,6,0
My Cloudz Inc,0.0013446679151307474,40092,10,34,1
"Xiamen 35.com Technology Co., Ltd.",0.0012988883377930247,3234,8,4,0
Bright Oceans Inter-Telecom Co Ltd,0.0012820176711057169,2502,8,3,0
Vogogo Inc,0.0012123005840910185,2708,7,3,0
Efficient E-Solutions Bhd,0.0012066497038652015,8909,12,9,0
BEIJING THUNISOFT CORP LTD,0.0011069176510666533,3236,8,3,0
Chasen Holdings Ltd,0.0010877603279540282,3096,11,3,0
Tricom India Ltd.,0.0010552932281759355,3624,10,3,0
Restore PLC,0.00103467636584888,3314,9,3,0
iFAO AG,0.001033360581038085,4046,9,4,0
Baozun Inc (ADR),0.001000640150065303,5180,11,4,0
Guangxi Future Technology Co Ltd,0.000997384520971472,4050,10,4,0
