name,score,document_length,url_count,display,led,oled,organic
Japan Display Inc,0.6704991736575956,6820,13,192,21,91,1
Onano Industrial Corp,0.35206081661521943,3578,9,11,1,12,8
LG Display Co Ltd. (ADR),0.34620982205723627,4772,7,96,4,26,3
LG Display Co Ltd,0.2877363745917711,8753,12,508,6,95,2
"Irico Display Devices Co., Ltd.",0.21248352110475782,1994,7,56,2,5,5
"Excel Cell Electronic Co., Ltd.",0.16910241327785722,3558,11,1,4,28,0
"Tianma Microelectronics Co., Ltd.",0.16050371393111662,4763,8,79,10,15,1
"Iljin Display Co., Ltd.",0.1534515606432342,1371,8,30,15,7,0
Microview Technology Corporation,0.14372278139351,5454,11,14,17,18,0
Daxin Materials Corp,0.11967826240244289,2492,8,23,6,6,1
BOE Technology Group Co. Ltd,0.1155870810160068,5360,10,79,5,7,5
Seven Star Works Co Ltd,0.09128402955599638,5778,9,9,3,6,4
Chemtronics Co Ltd,0.0908677557690096,3174,9,5,4,1,3
U-Tech Co Ltd,0.08458912932331716,4916,7,11,4,0,4
Varitronix International Limited,0.05771948210857198,2835,8,39,5,4,0
Park & OPC Ltd,0.054718174558138086,6821,9,2,7,0,7
DID Corporation,0.051795882258767315,2284,3,3,13,3,0
Daejoo Electronic Materials Co Ltd,0.04707148281644069,2953,9,3,6,1,2
"Display Tech Co., Ltd.",0.04275360329191283,2229,8,78,6,3,0
Accupix Inc,0.040714078489053465,10219,11,68,14,6,2
Samjin LND Co Ltd,0.03992406768864018,2673,9,6,34,1,1
International Display Solutions Co Ltd,0.03506984480087206,2613,9,58,6,1,1
"AMPIRE CO., LTD",0.03233757886141926,4205,12,47,20,2,1
"Unity Opto Technology Co., Ltd.",0.029910558981174,3189,6,2,139,4,0
YMC Co Ltd,0.02896689019331931,6341,14,1,15,0,5
Innolux Corp,0.028462190403133258,4287,10,49,9,2,1
Yeebo (International Holdings) Ltd,0.02741182418833533,3645,8,9,1,3,0
Truly International Holdings Ltd.,0.026582014863319226,2675,9,16,2,3,0
"Star World Technology Co., Ltd.",0.02495172021585782,2547,8,11,0,2,2
Litemax Electronics Inc,0.023990896420744978,4275,13,71,44,1,1
Jeng Shiang Precision Ind Co Ltd,0.023829253555484965,8655,14,33,26,2,3
"Wuhu Token Science Co.,LTD.",0.02320196980435125,2393,8,14,0,1,1
