name,score,document_length,url_count,flat panel display,passive component,pcb,precision,print,screen
Newflex Technology Co. Ltd.,0.5545659165984449,3764,14,0,11,139,0,9,8
Vishay Intertechnology,0.37188383478646836,4847,10,0,12,1,7,5,0
APCB INC.,0.28011227066715955,4227,14,1,0,178,2,9,3
"TOMOEGAWA CO., LTD.",0.23935589125214174,2153,11,4,0,0,0,12,2
P.C.B. Technologies Ltd.,0.16781636136916758,4858,11,0,1,238,2,12,0
Draco PCB Public Company Limited,0.16092530039035519,2461,12,0,0,114,0,10,6
Sunflex Tech Co Ltd,0.14423016829718538,4781,11,0,0,78,11,21,2
Nan Ya Printed Circuit Board Corporation,0.13981658034173625,4031,11,0,1,81,0,51,5
"Gia Tzoong Enterprise Co., Ltd",0.138218218372656,3419,9,0,0,121,0,11,4
Unitech Printed Circuit Board Corp,0.13596530861537726,4996,9,0,0,135,2,66,8
Flexcom Inc,0.13448310343254516,2445,8,0,1,7,4,8,1
Advanced Integrated Manufacturing Corp.,0.1257371596355437,2425,7,0,0,11,7,13,6
Bomin Electronics Co Ltd,0.12196737387084101,4275,11,0,0,75,3,16,4
IKONICS Corporation,0.11590390517743415,2799,10,0,0,0,11,16,18
FUJIFILM Holdings Corp. (ADR),0.11277897298187335,6776,10,3,0,0,0,7,7
"Flexium Interconnect, Inc.",0.11020614638091132,3309,11,0,1,45,0,14,5
Multi-Chem Ltd,0.10821803394612825,3472,11,0,0,21,6,6,1
"Benchmark Electronics, Inc.",0.10702597475162003,6121,12,0,0,1,17,11,5
"Multi-Fineline Electronix, Inc.",0.10339589841898694,4944,8,0,0,0,16,46,6
Interflex Co Ltd,0.09906630762116517,3646,9,0,0,82,0,12,11
Elna Co Ltd,0.09694414109392945,2413,9,0,1,5,2,22,6
T-Flex Techvest PCB Co Ltd,0.09568889684266986,4368,10,0,0,87,0,21,3
Simmtech Co Ltd,0.09474030458567453,1288,12,0,0,39,0,3,1
Unimicron Technology Corp.,0.09149748031759408,3549,10,0,0,98,0,5,2
Plotech Co Ltd,0.08602926780953514,3824,11,0,0,111,0,7,0
Dalian Dafu Holdings Co Ltd,0.07808070652327763,5003,10,0,0,0,14,5,10
Simmtech Holdings Co Ltd,0.07585090701049958,1834,13,0,0,40,0,3,5
Daisho Microline Holdings Limited,0.07399156370411201,2861,7,0,1,9,0,12,11
Shenzhen Fastprint Circuit Tech Co.Ltd,0.07391423586672555,4155,13,0,0,58,2,115,12
T-Mac Techvest PCB Co Ltd,0.0729173203206269,3389,9,0,0,47,0,10,5
Isu Petasys Co Ltd,0.0690932320557563,1293,7,0,0,24,0,8,7
Shenzhen Kinwong Electronic Co Ltd,0.06501587248711642,4157,9,0,0,47,2,15,5
Career Technology (MFG) Co Ltd,0.06446487748011323,2751,8,1,0,0,0,11,6
Celestica Inc,0.06382092373057899,4046,7,0,0,2,8,6,3
"Guangdong Chaohua Technology Co.,Ltd",0.06055335597954656,3203,9,0,0,27,2,28,11
Taiwan Printed Circut Brd Techvst Co Ltd,0.056972386298212135,3863,9,0,0,30,1,44,5
BH Co Ltd,0.056141239381967946,2361,9,0,0,31,0,6,5
CEI Ltd,0.05612175814620104,7237,11,0,0,1,10,10,6
BoardTek Electronics Corp,0.05134350628782621,1310,8,0,0,36,1,0,0
"Compeq Manufacturing Co., Ltd.",0.05050184895149964,2758,8,0,0,29,2,19,1
"TTM Technologies, Inc.",0.04893974754551219,14441,9,0,1,183,0,123,1
SMTC Corporation (USA),0.04855020497957819,3072,11,0,0,8,3,7,3
CammSys Corp.,0.0481100176012195,5905,15,0,3,0,0,10,12
AKM Industrial Co Ltd,0.047728525963231815,4272,9,0,1,7,0,15,7
Fine Line Circuits Ltd,0.046059020798849264,3997,9,0,0,54,0,15,0
Aspocomp Group Oyj,0.0450480046994769,2286,8,0,0,37,0,7,0
"Korea Circuit Co., Ltd.",0.044969969952577175,2594,9,0,0,25,0,8,9
"CHEER TIME ENTERPRISE CO., LTD",0.04466785940365334,4305,8,0,0,32,0,16,8
Tripod Technology Corporation,0.04400527888367512,1855,6,0,0,17,0,4,6
Tianjin Printronics Circuit Corporation,0.04392453794866711,2255,8,0,0,25,0,51,5
