name,score,document_length,url_count,broadband,catv,component,converter,data center,ftth,optoelectronic,sensing,telecom,transceiver,transmitter
Finisar Corporation,0.5712239200540432,7223,13,2,0,58,0,27,0,8,19,3,117,3
Oe Solutions Co  Ltd,0.43743963609467984,4527,13,5,0,0,1,0,0,8,0,14,81,0
Lightron Fiber Optic Devices Inc,0.2813151618758553,4021,10,7,5,9,4,6,9,0,0,6,2,6
APAC Opto Electronics Inc.,0.25574390456398943,2255,9,0,0,18,0,0,0,0,0,5,41,1
Coretek Opto Corporation,0.194041700616025,2216,9,1,0,2,0,0,0,0,1,3,27,0
Connection Technology Systems Inc,0.18617719758494874,5981,15,7,15,0,113,0,6,0,0,4,7,0
Filtronic Plc,0.17880389996308513,1941,9,44,0,10,0,0,0,0,0,7,9,0
Marvell Technology Group Ltd.,0.16745328194115505,11030,15,13,0,7,0,25,0,0,1,10,30,0
OB Telecom Electronics Co Ltd,0.15099338001002316,2905,8,0,0,0,24,0,0,0,0,51,7,14
NeoPhotonics Corp,0.15088111473364338,2357,8,0,0,17,0,1,0,4,0,7,9,4
IC Plus Corp,0.13086019733661022,3233,10,2,0,2,14,0,0,0,0,20,33,0
PCL Technologies Inc,0.12662247548705005,3887,8,0,0,6,1,0,1,1,0,4,16,0
Hangzhou CNCR-IT Co Ltd,0.12425825410782364,3491,10,0,1,11,7,0,3,0,0,7,5,4
"Silicon Image, Inc.",0.12201797282930618,8421,12,1,0,2,9,9,0,0,0,1,3,34
Axcen Photonics Corp,0.11753225861341308,2153,11,0,0,2,1,0,0,0,0,1,32,0
Screen Service Broadcasting Technologies,0.10398419553255013,2479,9,0,0,1,0,0,0,0,0,8,0,32
Fiberhome Telecommunication Tech.Co.Ltd,0.10110948226372729,3535,8,8,2,0,0,2,1,7,0,74,3,2
ZINWELL CORPORATION,0.08451634905485636,5475,12,16,16,1,34,0,0,0,0,0,0,0
TranSystem Inc.,0.08287051380003109,3530,9,0,0,1,9,0,0,0,0,4,8,5
Broadcom Corporation,0.07280875552666922,14223,18,24,1,19,2,10,0,2,2,19,6,2
"Japan Radio Co., Ltd.",0.062495299183260036,2257,8,1,0,6,3,0,0,3,0,1,4,0
Shunsin Technology Holdings Ltd,0.05773623197187132,3414,11,0,0,3,0,0,0,0,3,0,10,0
Excellence Optoelectronic Inc,0.051343659587788894,4979,10,0,0,17,0,0,0,73,0,1,0,0
Dongxu Optoelectronic Technology Co Ltd,0.049079421459041025,3079,7,0,0,5,0,0,0,57,0,0,0,0
Exar Corporation,0.047673158108207776,3560,10,0,0,6,0,2,0,2,3,7,2,3
Princeton Technology Corporation,0.04596994770202001,5445,16,6,0,2,18,0,0,0,0,0,6,13
Energous Corp,0.04553440742464232,5134,9,0,0,1,2,0,0,0,0,0,0,40
Shenzhen Absen Optoelectronic Co Ltd,0.04332887601112641,4583,12,0,0,4,0,0,0,73,0,3,0,0
Jiangxi Lianchuang Optoelec.Sc&Tech.,0.04040999212307654,3842,9,0,0,14,1,0,0,32,0,3,0,0
Ledman Optoelectronic Co Ltd,0.039212624792603235,4372,9,0,0,19,0,0,0,52,0,4,0,0
Wave Electronics Co Ltd,0.03758271651939474,4729,8,0,0,3,4,0,0,0,0,6,6,0
Parade Technologies Ltd,0.0352678190588204,5803,9,0,0,3,29,1,0,0,0,0,0,17
Advanced Optoelectronic Technology Inc,0.03424743022782048,2535,13,0,0,1,0,0,0,42,0,0,0,0
CTS Corporation,0.030114567901197004,3330,8,1,0,30,0,0,0,4,4,0,1,0
LuxNet Corp,0.029978279692288796,1596,11,0,0,9,1,0,1,0,0,0,1,2
Tonna Electronique SA,0.029975309082894575,3504,16,0,2,0,7,0,0,0,0,20,0,5
"Cirrus Logic, Inc.",0.026634944150671712,12486,14,0,0,25,155,0,0,5,0,1,1,0
Pulse Electronics Corp,0.02542755556152648,3037,7,2,1,25,2,0,0,3,0,19,2,0
AUK Corp,0.0253998618430492,4841,14,0,0,15,0,0,0,12,0,8,8,0
Vicor Corp,0.025189508682384815,38548,14,0,0,63,430,34,0,5,0,17,2,1
"FOCI Fiber Optic Communications, Inc.",0.02406667610061541,2526,9,4,0,10,1,0,2,0,0,2,2,0
Prime Electronics & Satellitics Inc,0.022279648038681148,3139,8,2,2,3,3,0,0,0,0,9,1,0
International Rectifier Corporation,0.0213812344155703,8912,13,0,0,16,26,0,0,2,0,6,3,0
BEIJING HUAHUAN ELECTRONICS CO LTD,0.020721874290559245,2860,9,0,0,1,59,0,0,0,0,2,1,0
Intersil Corp,0.019748711087241817,4993,8,0,0,13,14,0,0,13,0,0,2,0
"Everlight Electronics Co., Ltd.",0.019505199834878147,2988,9,0,0,13,0,0,0,18,0,0,0,2
Sequans Communications SA ADR,0.018987003956710494,9671,9,13,0,0,1,0,0,0,0,1,4,0
Ruby Tech Corporation,0.017523538944258215,5272,12,0,0,1,38,0,0,0,0,4,4,0
Richtek Technology Corp.,0.017443325184717005,7097,12,0,0,12,139,0,0,1,0,1,0,0
Telsys Ltd.,0.01741545049784084,5054,13,0,0,23,3,1,0,0,0,21,1,1
BOTHHAND ENTERPRISE INC.,0.01651600110187009,4518,17,2,0,18,91,0,0,0,0,2,0,0
"Hakuto Co., Ltd.",0.016374501001884194,1549,10,0,0,27,3,0,0,0,2,0,1,0
"New Japan Radio Co., Ltd.",0.015933123832733716,3970,12,1,0,32,12,0,0,12,0,0,0,0
