name,score,document_length,url_count,accessories,acp,board test,consulting,dc power,dram,flash,foundry,infinity,logic,market,mmw,parametric,power system,radar,reliability test,repair,rf,signal integrity,software,specialty,test,vacuum system
Cube System Inc,0.4631011491181019,3835,11,2,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,3,16,0,16,0,17,11
PC Systems S.A.,0.2316932302956929,3366,8,0,0,0,6,0,0,2,0,0,0,11,0,0,2,6,0,7,17,0,15,0,15,0
Mentor Graphics Corp,0.2183035677362724,7162,9,2,0,0,7,0,0,0,1,0,8,10,0,2,0,0,0,0,30,6,91,0,35,0
Oricom Inc,0.2180568954164903,7598,15,30,0,0,1,0,0,8,0,0,0,5,0,0,0,2,0,11,4,0,0,0,12,0
Signal Entertainment Group Corp,0.21605846193190795,15141,13,0,0,0,5,0,40,2,0,0,5,52,5,0,0,0,0,0,24,0,8,0,14,0
Power Engineering Consulting JSC 2,0.18337857768172422,4526,9,0,0,0,83,0,1,0,0,0,1,21,0,0,9,0,0,2,5,0,6,0,6,0
Macdonald Dettwiler & Associates Ltd,0.15825912958414584,4575,12,0,0,0,0,0,0,0,0,0,2,21,0,0,1,15,0,0,15,0,5,0,2,0
Creston plc,0.15819681439238842,2849,6,10,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28,0,4,0,4,0
Wartsila Oyj Abp,0.15692288223857304,15432,10,0,0,0,0,0,0,8,0,0,0,78,0,0,10,7,0,1,37,0,0,0,3,7
PRO DV AG,0.1539142473711064,11651,11,0,4,0,13,2,1,8,0,1,0,25,0,0,0,0,0,6,30,0,13,0,3,0
United Electronics Co Ltd,0.13874749546511744,3152,8,0,0,0,4,0,0,5,0,0,0,19,0,0,0,0,0,14,18,0,12,0,2,0
Macrologic SA,0.1348350652252502,2966,9,0,0,0,5,0,0,1,0,0,67,33,0,0,0,0,0,0,5,0,8,0,9,0
Fujitsu Ltd,0.13396968402167903,19075,20,5,0,0,60,0,0,19,21,4,0,29,0,0,0,0,0,0,72,0,156,0,27,0
Dovre Group Oyj,0.13084900398661706,17714,9,0,1,0,124,0,2,4,2,0,30,146,0,1,2,2,0,2,142,0,127,2,169,0
Image Information Inc.,0.1307152938866733,5182,10,0,0,0,10,2,0,11,0,0,3,24,0,1,0,0,0,0,45,0,26,0,12,0
International Business Machines Corp.,0.12524382938192866,16810,13,0,0,0,28,0,4,11,5,0,3,56,0,0,6,2,0,1,42,0,106,1,20,0
plenum AG,0.12412933928498276,6175,12,6,0,0,17,0,0,4,0,0,0,16,0,0,0,0,0,1,37,0,8,3,4,0
IT Holdings Corporation,0.11622144308064254,7865,10,0,0,0,2,0,2,0,0,0,2,42,0,0,0,0,0,17,14,0,4,17,3,0
IT Competence Group NV,0.11335138520672247,4850,9,0,0,0,14,0,0,1,0,0,2,25,0,0,5,0,0,2,27,0,7,0,11,0
Anite Ltd,0.11000149362211614,3302,6,0,0,0,1,2,0,0,0,0,2,19,0,1,0,1,0,2,20,0,47,0,121,0
AF AB,0.10376075209058193,940,6,1,0,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,3,0,4,0
Mercuries Data Systems Ltd,0.10169494964068358,3871,9,0,0,0,0,0,8,1,0,0,0,38,0,0,0,0,0,3,6,0,11,0,5,0
Prochem SA,0.0978911845326852,1545,9,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,1,2,0,0,8,6,0
