name,score,document_length,url_count,ac power source,converter,discontinued product,electronic,instrument,power ,safety test,solutions,test,test system
Good Will Instrument Co Ltd,0.5422884601983841,2841,5,7,0,4,21,33,39,9,0,35,0
Aehr Test Systems,0.5004050317488843,5618,10,0,0,0,10,3,7,0,0,157,160
Chroma Ate Inc.,0.35397090387853686,2262,9,3,0,0,31,12,31,7,2,126,16
NF CORPORATION,0.20931673212300744,2494,13,8,0,0,15,21,75,0,0,36,0
"Teradyne, Inc.",0.20764473043292772,5505,13,0,9,0,31,41,23,0,2,316,54
TESEC Corporation,0.18115514931232857,2344,13,0,0,0,1,2,12,0,0,130,46
Horiba Ltd,0.1720164025178284,3785,13,0,0,0,9,36,3,0,2,24,31
Orbotech Ltd,0.14709229864774975,6099,10,0,0,0,69,3,8,0,33,3,18
"Giga-tronics, Incorporated",0.13234544753057467,1692,12,0,0,0,14,3,5,0,6,22,9
Advantest Corp,0.11657534005824716,6089,11,0,2,0,41,24,0,0,0,290,51
Signality System Engineering Co Ltd,0.08930552984497458,5142,9,0,0,0,11,1,6,0,4,42,20
BOTHHAND ENTERPRISE INC.,0.0886378156130939,4516,17,0,91,0,29,1,62,0,0,0,0
Tokyo Keiki Inc,0.08482119480758353,2587,14,0,0,9,8,2,21,0,0,2,0
Hangzhou Everfine Photo-E-Info Co Ltd,0.08007841658264,2620,8,0,1,0,7,14,6,0,0,20,9
Kikusui Electronics Corp,0.07860158799348972,3298,13,0,0,0,57,17,93,3,0,53,4
HIOKI E.E. CORPORATION,0.07780957848102324,9570,14,0,0,3,31,108,195,5,2,218,1
Vicor Corp,0.07682429092828688,32039,14,0,359,0,38,4,1288,0,12,22,0
Weg SA,0.06998181870841194,6312,18,0,5,0,9,1,136,3,11,3,0
Wireless Telecom Group Inc,0.06594470304758948,5360,12,0,0,4,14,16,34,0,5,31,1
Spectris plc,0.06386583149591656,5981,11,0,0,0,5,63,14,0,21,75,1
Sumida Corporation,0.06157919812584663,1555,7,0,4,0,15,1,40,0,4,3,0
Yokogawa Electric Corporation,0.06124223716531105,7588,17,0,4,3,26,69,29,0,0,40,1
Toko Inc,0.06121772133231214,3633,12,0,3,0,44,2,22,0,16,8,0
Mettler-Toledo International Inc.,0.06057925822605686,11266,12,0,1,0,17,93,4,0,32,24,0
AT Semicon Co Ltd,0.057786172545344044,2692,7,0,10,1,6,1,41,0,0,20,0
"Transcat, Inc.",0.057026707780429085,9001,11,4,0,0,18,107,58,0,0,110,1
"Mesa Laboratories, Inc.",0.053525745289478795,4111,12,0,0,0,0,55,0,0,29,95,0
"Test Research, Inc.",0.04746252276650891,2412,9,0,0,0,11,1,6,1,0,68,4
S Connect Co Ltd,0.045748426132225385,1827,7,0,8,0,3,1,11,0,2,7,0
"Bel Fuse, Inc.",0.04454646550858783,5103,15,0,3,0,23,1,122,0,13,8,0
ANRITSU CORPORATION,0.043562085069819165,11252,11,0,0,0,43,25,36,0,15,284,14
LEADER ELECTRONICS CORPORATION,0.041236345321007846,3640,9,0,1,2,53,25,42,0,0,21,0
Crucialtec Co Ltd,0.04055352368805317,2115,11,0,1,0,12,8,2,3,0,2,0
Ono Sokki Co Ltd,0.03811275454914996,2424,8,0,6,0,1,3,0,0,0,6,4
GoerTek Inc.,0.03737130693007312,3238,8,0,1,0,22,0,4,0,12,3,0
Sun.King Power Electronics Group Ltd,0.035055519455123946,4034,8,0,11,0,76,0,151,0,0,9,0
ZH Electronic Measuring Instruments Co,0.034045678078375316,5360,10,0,1,0,74,135,3,0,2,18,1
"Cascade Microtech, Inc.",0.03384859665088901,8204,13,0,0,2,5,2,16,0,0,83,13
"MKS Instruments, Inc.",0.027625738944969787,6061,7,0,1,0,3,59,16,0,1,5,2
UR Holding SpA,0.02683054801585899,3257,8,0,10,0,16,2,9,0,2,6,0
"Bio-Rad Laboratories, Inc.",0.025809976508227375,9159,13,0,0,0,1,17,1,6,0,70,2
Kyowa Electronic Instruments Co Ltd,0.025336025154245597,5874,11,0,4,0,49,83,10,0,0,12,2
Telsys Ltd.,0.025276357930429746,5072,13,0,3,0,26,22,19,0,3,19,0
"A&D Company, Limited.",0.02513909185063121,6061,12,0,7,0,18,30,3,0,1,50,2
"Rongxin Power Electronic Co., Ltd.",0.025098471712253996,2263,12,0,4,0,22,0,87,0,0,3,0
Shimadzu Corporation,0.025043364134856333,7810,13,0,0,0,14,42,4,0,13,54,0
Cicor Technologies Ltd,0.02471972331730902,3590,11,0,0,0,109,0,0,0,13,9,0
STG International Ltd.,0.02429530577766554,3678,15,0,6,0,17,1,23,0,2,4,0
ROHM COMPANY LIMITED,0.024290883826830968,12388,14,0,19,0,173,3,144,0,0,12,0
ACARD Technology Corp.,0.024088714420659105,3945,9,0,10,0,14,2,0,2,0,1,0
Qualitau Ltd.,0.02399920596634057,2535,12,0,0,0,8,2,2,0,0,52,5
Alent PLC,0.023556689717253335,3739,9,0,0,0,33,0,5,0,10,1,0
"TAKAMISAWA CYBERNETICS COMPANY, LTD.",0.021705264260388026,1921,9,0,2,0,4,3,2,0,3,11,0
Payton Planar Magnetics Ltd,0.021547252323143366,2768,10,0,4,0,13,1,63,0,6,1,0
Jiangsu Skyray Instrument Co Ltd,0.021430357070118526,3775,13,0,0,0,4,116,3,0,0,31,0
Pulse Electronics Corp,0.020148420440561546,3100,7,0,2,0,93,0,39,0,4,4,0
Bruker Corporation,0.020128741338332607,6289,10,0,0,0,5,74,1,0,5,27,0
DongHua Testing Technology Co Ltd,0.019077013321360265,3383,8,0,0,0,4,8,0,0,0,85,4
"Daktronics, Inc.",0.01896230497838527,5368,11,0,0,3,14,0,5,0,0,10,0
Cepheid,0.018770528735541053,9330,18,0,0,0,5,38,4,0,2,165,4
Oxford Instruments plc,0.018695701792895706,3232,12,0,0,0,3,119,1,0,0,7,0
Minato Holdings Inc,0.018224210871265214,4311,12,0,3,0,12,3,22,0,0,11,1
"Integrated Micro-Electronics, Inc.",0.018209729548369104,6186,8,0,0,0,149,2,24,0,0,19,6
Koh Young Technology INC.,0.01813797278922435,1506,9,0,0,0,6,0,2,2,0,6,0
Viking Tech Corporation,0.017865254816456063,13165,13,0,7,0,32,1,740,0,1,15,0
Beijing Sailsors Instrmnts Tech Co Ltd,0.017698462193248186,3986,10,0,0,0,19,120,10,0,0,7,0
KOA CORPORATION,0.017451824198545414,6941,12,0,15,0,33,2,82,0,0,7,0
TT Electronics plc,0.01710108851233367,4782,13,0,0,0,161,4,52,0,4,15,0
Xiamen Red Phase Instruments Inc,0.01686742695024086,3028,8,0,0,0,7,49,28,0,0,17,0
APLISENS S.A.,0.016671025902079074,1361,14,0,3,0,6,11,5,0,0,2,0
Shenzhen Clou Electronics Co Ltd,0.016607777443936732,3699,9,0,0,0,52,8,52,0,0,21,2
SANTEC CORPORATION,0.016399591900937007,2320,10,0,0,0,9,12,4,0,0,11,2
Danaher Corporation,0.01637473665175148,10196,16,0,1,0,7,42,9,0,3,40,1
Semitec Corp,0.015582273687669122,3325,14,0,1,0,36,0,14,2,0,4,0
Arlitech Electronic Corp,0.015577115621859693,2682,9,0,6,0,64,1,9,0,0,1,0
King Core Electronics Inc.,0.015484008983932838,2394,10,0,0,0,32,0,10,2,0,0,0
FineTek Co Ltd,0.015193700310581409,4326,15,0,1,0,3,20,3,2,0,3,0
"Advanced Energy Industries, Inc.",0.015058716424960665,4394,10,0,1,0,2,11,144,0,0,6,0
Vtron Technologies Ltd,0.015034401367419925,4273,13,0,0,2,15,0,21,0,0,13,0
Gefran S.p.A.,0.014696634923791991,5842,16,0,8,0,4,9,18,0,0,11,0
Digital Power Corporation,0.014603499547491006,3771,8,0,0,0,10,1,136,0,0,3,0
Jiangsu Linyang Energy Co Ltd,0.01459776424924937,4694,13,0,2,0,19,0,37,0,5,5,0
SINO IC Technology Co Ltd,0.014192745538306436,5405,11,0,2,0,15,4,3,0,0,143,3
"PULSTEC INDUSTRIAL CO.,LTD.",0.014137945883828933,4040,16,0,3,0,17,2,7,0,0,32,2
Genesem Inc,0.014007340885907688,5768,13,0,0,0,1,0,14,0,13,35,0
"AMPIRE CO., LTD",0.013809970990485894,4215,12,0,2,0,11,0,3,0,4,3,0
Norsat International Inc (USA),0.013747360318830788,4796,11,0,14,0,0,0,4,0,1,6,0
Ste Indust. d'Appareillage et Mat Elect,0.01359382891038778,6369,9,0,10,0,11,4,4,0,1,4,0
JAPAN ELECTRONIC MATERIAL CORPORATION,0.013548379149273622,2207,9,0,0,0,41,0,0,0,4,22,0
JEOL Ltd,0.013387732617174129,4845,13,0,0,1,11,44,0,0,0,3,0
Hangzhou Sunrise Technology Co Ltd,0.0122331759978076,2268,8,0,1,0,12,10,24,0,0,11,0
Arrayit Corp,0.012112083922864997,5316,12,0,0,0,4,17,4,1,1,16,0
EIWA CORPORATION,0.011736314432567795,2389,10,0,3,0,3,8,2,0,0,14,0
"MITSUMI ELECTRIC CO., LTD.",0.011149237663665327,6807,13,0,3,0,44,3,23,0,1,15,0
Nanjing Sciyon Automation Group Co Ltd,0.01102295403100417,3685,9,0,3,0,0,13,8,0,1,6,0
Legrand SA,0.010520049529369352,9603,17,0,0,0,1,0,32,0,10,23,0
"Guodian Nanjing Automation Co., Ltd.",0.009943447600306963,3069,13,0,3,0,0,0,72,0,0,6,0
"Sunfpu Technology Co., Ltd",0.009775575565434977,3839,11,0,0,0,21,0,7,0,5,8,0
"Digital Power Communications Co., Ltd.",0.00969800911087848,2623,8,0,2,0,2,3,48,0,0,4,0
Store Electronic Systems SA,0.009661530689757804,2893,10,0,0,0,93,0,2,2,0,3,0
Shanghai Lingang Holdings Corp Ltd,0.009548173923058144,4882,9,0,1,0,0,42,13,0,0,6,0
