name,score,document_length,url_count,communication,component,distributor,wireless
Laird PLC,0.43774176936166365,10892,12,43,24,0,149
Alltek Technology Corp.,0.39006847542695733,2789,9,30,28,4,22
"TESSCO Technologies, Inc.",0.3576171083201632,2530,10,16,2,2,48
Promaster Technology Corp.,0.28290074799219594,2741,16,16,6,13,15
Powermatic Data Systems Ltd.,0.25650255972953695,2149,7,6,2,0,33
WPG Holdings Limited,0.218480333301738,3147,9,7,25,13,9
NICHIDENBO CORPORATION,0.21460838215783545,2605,13,1,5,0,19
InfoSonics Corporation,0.19951370112098488,4506,11,9,2,13,23
TeleChoice International Ltd.,0.17681548753353774,2628,11,49,1,7,9
Petrosetco Distribution Joint Stock Co,0.15330755185402786,2426,9,4,3,26,1
VOXX International Corp,0.13323305346897982,4171,9,13,1,5,12
Electrocomponents plc,0.11452055373259652,6385,11,1,147,58,0
Premier Farnell plc,0.10213007057695943,4470,13,3,19,23,1
S.A.S. Dragon Holdings Limited,0.10206820568420447,5181,9,14,24,20,3
Graybar Electric Co Inc,0.10042976125673239,6432,12,44,6,11,9
Wuhan P&S Information Technology Co Ltd,0.09971160155681708,2864,7,11,38,6,3
Shanghai Fortune Techgroup Share Co Ltd,0.08899449505482472,4039,10,11,4,3,7
Solomon Technology Corporation,0.08456659417126192,3664,13,3,12,6,4
Ambertech Limited,0.08278604351970857,4708,12,3,8,4,7
Chander Electronics Corp.,0.07441719389030363,3272,9,4,16,4,3
LITE-ON JAPAN LTD.,0.07364450621540104,4105,13,8,12,10,3
Aerospace Communications Holdings Co Ltd,0.06706271477331123,2947,8,79,1,1,4
Synnex Technology International Corp,0.06258801538195316,3593,10,11,18,12,2
ABC Data SA,0.06128421255172075,4245,12,4,5,28,0
Ingram Micro Inc.,0.06023892159384536,5744,13,3,3,1,9
Planet Communications Asia PCL,0.05969891872972109,1506,8,47,1,0,3
Promate Electronic Co Ltd,0.057649513524825585,2591,9,6,13,2,3
ASEC International Corporation,0.05764708947296426,2384,7,3,8,4,2
KANADEN CORPORATION,0.0569273120441116,2535,7,11,5,4,2
Surge Components Inc,0.0530134381902132,2924,12,2,119,12,0
Digiworld Corp,0.05284504105006727,3735,9,5,1,16,0
"Medifron DBT Co., Ltd.",0.052763968822434594,3348,12,8,0,0,8
"Avnet, Inc.",0.05057832758766579,1671,12,0,15,12,0
Taitron Components Inc.,0.05050964669345106,1376,11,0,65,8,0
Rexel SA,0.050326966812514674,3827,9,10,6,13,0
"ScanSource, Inc.",0.04874253749594242,3625,11,76,1,13,2
Zenitron Corp,0.04542325716877958,1040,7,3,5,2,2
Acal plc,0.04446819284063445,3965,9,13,16,2,3
Ban Leong Technologies  Ltd,0.043807798393970705,2045,14,0,0,3,4
Hanchang Corporation,0.04341332451439922,3281,10,4,0,1,5
EACO Corp,0.04195740043320612,3944,9,8,24,10,0
The International Engineering PCL,0.03782052072873813,2550,8,12,1,6,1
Communication & System Solution PCL,0.037483612132552774,1877,7,37,4,3,0
"WESCO International, Inc.",0.03636535025478858,10312,13,54,10,18,0
NTT System SA,0.035928824410484846,4971,14,1,10,11,1
Edom Technology Co Ltd,0.03420925832790696,2787,6,2,19,0,4
Uniquest Corporation,0.03181913124946517,2155,10,3,3,1,2
"V-Tac Technology Co., Ltd.",0.031606276974106805,3733,9,6,3,3,2
SUNNIC Technology & Merchandise Inc.,0.030587017507659766,3835,10,9,16,7,0
Simat Technologies PCL,0.030238636171268655,4123,12,1,2,0,8
Willas-Array Electronics (Holdings) Ltd,0.029858029909042932,1823,7,3,12,0,2
Namsung Corp,0.02928837142454231,2505,7,4,0,0,3
Interlink Communication (Thailand) PCL,0.028565423721297622,2833,12,46,2,6,0
TE Connectivity Ltd,0.028471378732324432,6670,12,13,37,7,1
mDR Ltd,0.02844035794853722,3285,9,15,2,0,4
Genuine C&C Inc,0.02720333149213812,2445,13,2,5,4,1
Choo Chiang Holdings Ltd,0.025330954952135172,3913,12,1,5,6,1
"Ryosan Company, Limited",0.02501685996337292,2131,12,0,31,5,0
Tech Data Corp,0.0249626579803313,6968,14,9,14,9,2
"MAXTEK TECHNOLOGY CO., LTD.",0.024890089531867367,2064,8,4,4,0,2
Koryo Electronics Co Ltd,0.024050975879896054,3229,9,2,25,3,1
Fujii Sangyo Corporation,0.023573145275043495,6096,17,4,12,8,0
Yleiselektroniikka Oyj,0.02339416021514239,3564,9,3,22,0,2
Galaxy Far East Corp,0.023244518800621092,3120,9,11,5,4,0
"Hunan Copote Science & Tech Co., Ltd.",0.02295844371548244,3861,8,7,0,0,4
SUZUDEN CORPORATION,0.02264847597110806,2296,9,7,7,3,0
