name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
"ThinTech Materials Technology Co., Ltd.",0.6456629773142357,4453,10,2,2,11,45,23,39,9
SCI Engineered Materials Inc,0.4810329384835328,3399,10,0,2,2,16,19,36,24
Advanced Nano Products Co Ltd,0.45192299472124625,3121,10,0,12,28,4,15,31,4
Solar Applied Materials Technology Corp,0.2895029002227236,2298,8,0,3,2,33,6,12,10
Buwon Precision Sciences Co Ltd,0.17039122568164422,3417,9,0,1,24,0,9,6,0
Ushine Photonics Corp.,0.1388923404162054,2636,11,0,0,28,0,6,1,4
MK Electron Co Ltd,0.05657322323424856,2796,13,0,0,10,0,3,4,0
Thin Film Electronics ASA,0.054717666103824315,6026,10,0,0,3,1,0,0,35
"Apollo Solar Energy, Inc.",0.032414261328449816,3532,11,0,1,11,23,0,1,7
"Wuhu Token Science Co.,LTD.",0.02525387108969509,2101,8,0,3,25,8,0,2,4
EFUN Technology Co Ltd,0.024781760834788457,3572,8,0,4,28,1,1,2,1
Inrad Optics Inc,0.021547417288852913,3037,8,0,2,4,18,0,1,5
"GEOMATEC CO., LTD.",0.018341145124691937,4278,10,0,0,129,8,1,0,5
Taeyang Electronics Co Ltd,0.018048639233484175,3218,9,0,2,11,4,1,5,0
"Jochu Technology Co., Ltd.",0.01777031365847157,3580,9,0,1,9,20,0,3,3
Onano Industrial Corp,0.015822406074931065,3576,9,0,0,7,0,0,0,7
Inzi Display Co Ltd,0.015530063161623439,2875,9,0,4,12,0,0,2,4
"Fine DNC Co., Ltd.",0.015490226516744249,4110,9,0,5,11,8,0,1,3
"Star World Technology Co., Ltd.",0.014588174960000777,2895,8,0,3,4,0,0,2,4
Aqua Metals Inc,0.014494608058133697,9811,12,0,20,10,271,0,9,0
Zhejiang Crystal Optech Co Ltd,0.013907242306653142,3424,10,0,1,8,1,0,0,4
Raydium Semiconductor Corporation,0.0132417308803567,4720,13,0,0,14,1,0,2,6
Unitel High Technology Corporation,0.012911280324899759,4049,12,0,1,5,4,0,3,3
"e-Litecom Co., Ltd.",0.011313861245500666,2510,8,0,0,10,0,0,1,3
"Western Metal Materials Co., Ltd.",0.010608938200335389,4338,9,0,5,4,132,0,1,0
E Ink Holdings Inc,0.01032705062100327,3848,8,0,5,5,0,0,2,5
"Sejin T.S Co., Ltd.",0.010022216192710938,2829,10,0,0,11,0,0,1,3
Jeng Shiang Precision Ind Co Ltd,0.009951248337400019,8731,14,0,0,10,3,1,0,4
Formation Metals Inc,0.009761309367484802,11514,15,0,47,14,137,0,7,0
CoAsia Microelectronics Corp.,0.009649013760898956,5670,13,0,3,10,2,0,1,3
"Pacific Metals Co., Ltd.",0.009556761855499547,3079,12,0,1,11,92,0,1,0
"FINE TECHNIX CO.,LTD",0.009366903990702505,1342,5,0,1,16,5,0,0,1
YOUNYI Information Communication,0.00928162037554757,2865,8,0,0,12,0,0,1,3
Alumetal SA,0.008907020006520595,2514,10,0,4,0,83,0,4,0
"Shenzhen Laibao Hi-Tech Co., Ltd.",0.008760406224679817,2690,9,0,0,15,0,0,1,3
"Giantplus Technology Co., Ltd.",0.008265909624447228,3766,10,0,0,15,0,0,2,4
Hansol Technics Co Ltd,0.008265156474457632,3035,10,0,0,9,0,0,2,4
Anglo American Platinum Ltd,0.008116138921161826,9418,12,0,86,1,95,0,1,0
Hancom GMD Inc,0.00777568720984621,5020,9,0,9,10,7,0,1,2
Hi-Light Tek Co Ltd,0.0076867997277732135,2068,11,0,1,7,0,0,3,2
Tah Kong Chemical Industrial Corp,0.007578005812469906,2367,8,0,0,5,0,0,0,3
Molibdenos y Metales S.A.,0.007525781522582116,5774,9,0,3,16,94,0,1,0
Rising Nonferrous Metals Share Co Ltd,0.0073987518118334384,4033,9,0,5,5,95,0,0,0
"Zhejiang Nanyang Technology Co.,Ltd.",0.007191883178541319,1940,7,0,0,24,5,0,0,2
Green Energy Technology Inc.,0.007138256054551501,3564,7,0,2,2,0,0,1,6
BOE Technology Group Co. Ltd,0.007107798229296764,4382,10,0,2,8,1,0,1,4
Nordic Mining ASA,0.007099321117401398,3685,10,0,26,1,16,0,8,0
AMG Advanced Metallurgical Group N.V.,0.006920765176763218,3989,12,0,1,0,110,0,4,0
HORSEHEAD HOLDING CORP.,0.006714549073308669,4607,12,0,30,9,22,0,7,0
Mosel Vitelic Inc.,0.006616236877336634,4129,10,0,3,12,1,0,3,2
S&S Tech Corp,0.0065626412380827,3255,9,0,1,18,5,0,0,2
"Titan Kogyo, Ltd.",0.0064736946299086785,3224,9,0,52,3,0,0,1,0
Microtips Technology Inc.,0.0064481087960280015,11303,7,0,5,30,2,0,0,7
Super Dragon Technology Co. Ltd.,0.006216094009222225,3352,9,0,12,4,20,0,4,0
Scandium International Mining Corp,0.006154110458140604,11815,11,0,12,6,166,0,4,0
ISE CHEMICALS CORPORATION,0.0061343148357530155,2174,10,0,11,3,32,0,1,0
Mineral Deposits Limited,0.006009503507201575,6777,15,0,35,7,20,0,16,0
