name,score,document_length,url_count,computer,cooling,desktop,heat pipe,led,module,peripheral,server,thermal
Asia Vital Components Co Ltd,0.8033923318294761,3104,12,12,7,0,6,14,6,2,3,15
ADDA CORP,0.2940793771144365,3973,10,4,27,0,0,5,6,0,0,19
Ban Leong Technologies  Ltd,0.26936306065755505,2146,14,1,7,7,0,3,0,1,0,17
technotrans AG,0.19375397199735078,3377,10,1,21,0,0,12,0,3,0,0
Ferrotec Corporation,0.1754205475600487,2912,11,0,8,0,0,3,36,0,0,26
Mobotix AG,0.12428964372470523,4390,13,5,1,0,0,15,15,0,2,33
Silitech Technology Corporation,0.12054863711977327,3258,9,17,5,4,0,9,15,3,0,0
Hyper Inc,0.10849568180077086,4225,18,12,1,0,0,25,1,4,27,3
Laird PLC,0.10048310998578669,10534,12,1,6,0,0,9,159,0,1,26
CTS Corporation,0.09149343276299805,3904,10,4,0,0,0,13,16,0,0,26
Genuine C&C Inc,0.06467161243839997,3174,12,17,1,4,0,7,1,6,3,0
PC Direct,0.06449142996450964,2804,8,16,2,7,0,7,0,2,11,0
DI Corp,0.06170823822857479,13924,10,0,0,0,0,4,0,0,0,233
Sun.King Power Electronics Group Ltd,0.05880256802728928,3980,8,1,7,0,0,4,11,0,0,0
Ingram Micro Inc.,0.054528201493034854,4981,13,14,0,7,0,16,0,4,8,4
"Mattson Technology, Inc.",0.04856471020963378,4837,11,1,0,0,0,12,2,0,0,30
SOLUETA Co Ltd,0.048115196587261266,2750,9,1,0,0,0,12,0,0,0,16
Dexerials Corp,0.04266246639990108,3662,10,0,0,0,0,0,12,0,0,45
IM Tech Inc,0.042395298458542285,3995,11,1,0,1,0,8,5,1,0,12
IEI Integration Corp,0.04081856118698344,4139,10,40,1,0,0,4,18,13,0,2
Tokyo Electron Device Ltd,0.039561215502242446,4758,11,6,0,0,0,4,3,1,7,5
Synnex (Thailand) Public Company Limited,0.0390639596127894,3415,10,42,0,6,0,5,0,3,9,0
Coretronic Corporation,0.03805075080646353,4097,8,6,1,1,0,5,58,2,0,1
Dimerco Data System Corporation,0.03765769183494044,2968,8,32,0,0,0,5,1,6,8,0
NTT System SA,0.035737994976521664,5949,18,34,0,15,0,2,0,9,12,0
Action SA,0.03451029156501097,1555,5,11,0,1,0,4,0,1,8,0
Jorjin Technologies Inc,0.03431860779291416,2704,11,1,0,0,0,5,64,0,1,1
Beijing Siasun Electronic System Co Ltd,0.03351105293450281,1879,9,12,1,1,0,2,0,6,1,0
Fortune Information Systems Corp,0.030657926623430646,3599,9,32,0,0,0,7,0,9,10,0
Global Standard Technology Co Ltd,0.030575089955035873,2482,10,0,0,0,0,9,0,0,0,13
SINGULUS TECHNOLOGIES  AG,0.02893288554093007,2876,8,2,0,0,0,9,0,0,3,7
Litemax Electronics Inc,0.0286474716612864,4966,14,14,0,0,0,91,9,1,0,8
"Advanced Energy Industries, Inc.",0.027619491506740427,6437,10,0,0,0,0,39,20,0,0,13
centrotherm photovoltaics AG,0.027105567909364137,2487,8,0,0,0,0,4,27,0,0,5
PCS Technology Ltd,0.026451775906337707,5862,11,17,1,6,0,13,2,1,4,0
Trais Co Ltd,0.02589804861791947,4266,10,6,0,0,0,14,31,0,0,4
Unitech Computer Co Ltd,0.024431868477117584,3079,9,62,0,0,0,7,1,5,4,0
IDEC CORPORATION,0.024211115475808682,6426,14,3,0,0,0,40,24,2,1,7
Young Optics Inc.,0.02420318141912446,1990,10,1,0,0,0,8,29,0,0,3
Shenzhen Success Electronics Co Ltd,0.02402546472958553,3273,9,4,0,0,0,2,13,0,15,0
ROHM COMPANY LIMITED,0.02368778488004636,12273,14,5,0,0,0,54,35,1,3,7
Disway SA,0.023301147818176375,6003,14,20,0,8,0,4,1,1,5,0
Versarien PLC,0.023056250536498787,1794,9,0,0,0,0,4,0,0,0,6
Microtips Technology Inc.,0.02256557698871851,11401,7,9,0,2,0,180,129,0,1,3
Korea Information Engineering Services,0.02220120146807063,1617,8,12,0,3,0,6,0,2,3,0
"Soaring Technology Co., Ltd.",0.02136311651793233,3421,12,6,0,1,0,2,0,3,0,4
Viatron Technologies Inc,0.020732305810781955,2560,8,0,0,0,0,5,0,0,0,7
Shengyi Technology Co Ltd,0.019782500993598625,3121,9,5,0,0,0,1,0,0,0,7
Browave Corp,0.019764697306996787,2568,10,0,0,0,0,12,96,0,0,0
Bestcom Infotech Corp,0.019509515088150433,2637,8,32,0,1,0,3,0,8,1,0
SEIRYO ELECTRIC CORPORATION,0.019313173181651527,2945,9,7,0,1,0,1,0,2,9,0
Hengli Petrochemical Co Ltd,0.018686276280750518,4223,10,1,3,0,0,5,0,0,0,0
Powermatic Data Systems Ltd.,0.017794463213125215,3627,8,15,0,0,0,3,5,7,2,0
S Connect Co Ltd,0.01774275143102362,2646,8,3,0,0,0,2,5,1,6,0
"Holy Stone Enterprise Co., Ltd.",0.01768560247933967,6069,12,3,0,0,0,29,30,13,0,0
Stark Technology Inc,0.017285256304874482,1776,11,8,0,0,0,2,0,3,5,0
Tokyo Electron Ltd,0.017205622674647397,5588,12,5,0,0,0,9,1,1,1,5
Power Quotient International Co Ltd,0.017028084147893353,2900,12,7,0,0,0,2,8,13,0,0
Shanghai HIUV New Materials Co Ltd,0.016722812516253144,2658,8,0,0,0,0,11,49,0,1,0
Wiisol Co Ltd,0.016659020869351896,1812,12,0,0,0,0,1,82,0,0,0
Promate Electronic Co Ltd,0.016493489959834382,2690,10,11,1,0,0,6,5,1,0,0
Ryoyo Electro Corp,0.016342629288866643,4625,10,8,0,0,0,4,3,5,5,0
King Core Electronics Inc.,0.01623053384048578,2642,9,9,0,1,0,2,0,3,3,0
"Tianma Microelectronics Co., Ltd.",0.016046587479393186,5036,8,7,0,0,0,21,34,5,0,0
Logicom Public Ltd,0.015968151510023437,4657,11,21,0,0,0,13,0,4,8,0
Hansol Technics Co Ltd,0.015370872945021595,3491,10,0,0,0,0,20,54,0,0,1
Softcen Co Ltd,0.015026828295122242,2691,12,5,0,0,0,7,0,3,4,0
"KAWATA MFG. CO., LTD.",0.014859336106737241,2653,11,1,1,0,0,1,0,0,0,3
"Jhen Vei Electronic Co., Ltd.",0.014671572497803804,1673,7,4,1,0,0,2,0,2,1,0
SAMT Co Ltd,0.014539307418854893,3653,9,6,0,3,0,11,4,1,2,0
High-Tek Harness Enterprise Co Ltd,0.014480884431780512,4392,9,14,0,0,0,1,0,5,7,0
Kingpak Technology Inc,0.014433344137740094,2366,9,7,0,1,0,3,28,0,0,0
Axcelis Technologies Inc,0.014300148650161573,3678,9,0,0,0,0,17,1,0,0,5
Tamagawa Holdings Co Ltd,0.014170955398349195,2137,9,0,0,0,0,0,3,0,0,4
Daiwabo Holdings Co Ltd,0.014044672068798425,3808,9,7,0,0,0,1,0,3,0,3
Indeks Bilgisayar Sistemleri Muhendislik,0.013916052273902519,3257,9,11,0,1,0,0,0,4,4,0
R. H. Technologies Ltd.,0.013671706976602268,2212,12,1,0,4,0,6,6,0,0,0
Xander International Corp.,0.013663322181753644,3425,13,23,0,2,0,4,2,4,1,0
Shenzhen Topeast Technology Co Ltd,0.013646914639174883,3110,11,3,0,1,0,27,3,1,0,2
Leo Systems Inc,0.013346150472111313,4019,11,12,0,0,0,3,2,3,4,0
Galaxy Far East Corp,0.013141923502625934,3076,8,5,0,0,0,7,3,1,2,1
"Taiwan Chi Cheng Enterprise Co.,Ltd",0.01305082613578006,3117,9,15,0,1,0,2,1,8,0,0
Namuga Co Ltd,0.013023271101983569,3506,9,6,0,1,0,1,38,0,0,0
