name,score,document_length,url_count,cleaning product,health drink,health food,health supplement,skin care,supplement
Real Nutriceutical Group Ltd,0.7857963025466728,2538,8,0,10,5,0,0,25
Vitaco Holdings Ltd,0.28255826897722336,3982,12,0,0,15,4,0,21
Lescarden Inc.,0.2150455599514889,5055,9,0,0,1,0,25,20
Vitality Products Inc,0.2051180380244022,6656,13,0,0,21,6,0,19
Wai Yuen Tong Medicine Holdings Limited,0.17385993374499242,6748,12,0,0,17,1,3,5
Nanjing Sinolife United Co Ltd,0.171890635814758,3414,8,0,0,15,0,2,15
Industri Jamu dan Farmasi Sd Mncl Tbk PT,0.15897093992861253,4616,10,0,5,0,0,2,6
TCI Co Ltd,0.1509045334675317,2327,8,0,0,5,2,1,6
Strides Shasun Ltd,0.11291437199809609,5988,9,0,1,1,1,7,17
Bioalpha Holdings Bhd,0.10325501731018469,3993,8,0,0,0,17,0,1
Glory Biotech Co Ltd,0.09455228723554036,1993,7,0,0,7,0,0,1
"Daehan New Pharm Co., Ltd.",0.08872934947600222,3359,9,0,0,1,1,4,4
"Imagenetix, Inc.",0.08616423031819956,3441,9,0,0,0,1,6,12
RM Group Holdings Ltd,0.08474065585656959,3709,9,0,0,2,8,0,11
CYANOTECH CORP,0.0817465641092497,2512,9,0,0,5,0,0,29
GNC Holdings Inc,0.07181353179859604,8402,13,1,0,4,0,0,51
Wooridul Pharmaceutical Ltd,0.07104383837568862,4347,9,0,0,7,0,0,5
Themis Medicare Ltd,0.06342514171572719,5529,10,0,0,1,1,4,11
Tien Liang Biotech Co Ltd,0.05903865358426259,4824,10,2,0,7,0,0,0
NatureWise Biotech & Medicals Corp,0.057139537289042704,4908,9,0,0,4,1,0,6
Syngen Biotech Co Ltd,0.04741148657076829,3945,10,0,0,3,2,0,10
Kalbe Farma Tbk PT,0.04731349270081165,2943,8,0,1,0,0,1,5
Elder Pharmaceuticals Ltd,0.04572632350835732,10165,10,0,0,1,1,6,19
"USANA Health Sciences, Inc.",0.04373594234707202,6333,12,0,0,1,1,3,37
Kyung Nam Pharm Co Ltd,0.040199726523819534,6196,10,0,0,5,1,0,1
"Ildong Pharmaceutical Co., Ltd.",0.036180020601800145,4218,10,0,0,9,0,0,0
Beximco Pharmaceuticals Limited,0.036129831876928684,9688,9,0,0,0,0,9,18
"Korean Drug Co., Ltd.",0.03311835946685745,1718,9,0,0,4,0,0,0
Mega Lifesciences Public Co Ltd,0.032835478323723494,3867,12,0,0,2,2,1,13
F D C Ltd,0.03159765735706738,8992,10,0,0,1,1,4,12
Jerusalem Pharmaceuticals Co Ltd,0.030993218424037784,3506,11,0,0,0,0,4,3
China YCT International Group Inc.,0.027002226589330224,5178,8,0,0,1,2,2,9
Nutritional Holdings Ltd,0.025803024361751397,5002,15,1,0,0,0,0,9
"SHAKLEE GLOBAL GROUP,INC.",0.024016367883855097,3087,8,0,0,3,0,2,2
Croda International Plc,0.020844890361099867,4365,12,0,0,0,0,3,4
DaehanPharmaceutical,0.02083113150459666,4141,12,0,0,0,1,2,6
