name,score,document_length,url_count,analog,card,card payment,card personalization,certificate,consulting,test,training
SOCIETE MAGHREBINE DE MONTIQUE,0.6177802992640484,5772,9,0,30,6,2,1,13,9,16
Mastercard Inc,0.5228609998452068,8930,14,0,611,9,0,0,2,11,1
Fidelity National Information Services,0.28079988682159185,9492,8,0,80,0,6,0,21,84,0
EVRY ASA,0.19660164907564373,3362,10,0,23,3,0,0,3,3,0
Edu Fin Inv JSC,0.17615563694003347,5348,8,0,72,0,0,15,0,9,0
Triis Inc,0.17106614945081375,3763,9,0,0,0,0,21,0,21,6
Institut Igh dd,0.16201551642577347,2952,9,0,1,0,0,16,6,9,0
CardioGenics Holdings Inc,0.14155478872775626,7596,15,0,254,0,0,2,0,97,0
Genpact Limited,0.14129901576619158,6603,13,0,34,0,0,11,12,4,5
DTS Corp,0.10631855280299209,9014,13,5,3,0,0,0,3,59,38
Serma Technologies SA,0.09302550989580984,5636,11,1,5,0,0,4,21,34,23
Nixu Oyj,0.08968687612738288,2549,7,0,1,0,0,11,11,2,0
Mistras Group Inc,0.08199039951081674,5437,12,4,0,0,0,2,3,48,14
Medical Marijuana Inc,0.06676065799848128,8946,14,3,4,0,0,4,3,19,0
Primeserv Group Limited,0.06543838148749148,3773,10,0,2,0,0,5,13,2,49
MOLD-TEK Technologies Limited,0.06074273944721174,3991,8,2,1,0,0,1,0,15,4
Kudelski SA,0.05718811685536128,2003,5,1,3,0,0,0,3,3,2
Virinchi Technologies Ltd,0.051217769945954394,6905,11,0,4,1,0,0,23,21,5
GP Strategies Corp,0.04932284940173364,5804,10,0,0,0,0,3,21,4,64
Jiangsu Province Comm P & D Inste Ltd Co,0.048408666683491974,8616,7,0,3,0,0,10,0,7,1
Wison Engineering Services Co Ltd,0.04564371332282449,6278,12,0,0,0,0,14,10,0,4
Danlaw Technologies India Limited,0.04484251840321894,3798,8,2,2,0,0,0,4,18,1
Technvision Ventures Ltd,0.04422035925928147,4925,13,2,1,0,0,2,4,21,0
KTCS Corp,0.043317189908751955,3878,9,0,2,0,0,0,14,6,49
Virtusa Corporation,0.04188408380024361,7835,11,0,3,1,0,0,82,13,5
"Syntel, Inc.",0.04160568421403282,5606,10,0,0,1,0,0,7,31,6
Wisec Global Ltd,0.04138731897075414,5238,9,0,1,0,0,5,3,18,3
Goldstone Technologies Ltd.,0.041289000644995695,7887,12,2,2,0,0,4,11,21,2
VICOM Limited,0.03676102457515108,7711,13,1,5,0,0,0,10,49,4
MITCON Consultancy & Engineering Svs Ltd,0.034013052041206394,7788,10,0,0,0,0,0,67,11,85
Nippon RAD Inc.,0.031171245684438388,2197,13,2,0,0,0,0,7,1,0
SMRT Holdings Bhd,0.029957020378038473,2758,9,0,0,0,0,0,13,3,24
Visiativ SA,0.029354373892465865,3197,8,0,0,0,0,4,3,1,0
Top Resource Conservation Engineering,0.027535348674069413,5003,7,0,6,0,0,2,0,6,4
Bureau Veritas SA,0.027267935886980586,9874,13,0,1,0,0,3,20,84,26
AF AB,0.027204278073946247,754,5,0,3,0,0,0,3,3,0
"CBIZ, Inc.",0.026388604319655118,8227,12,0,11,0,0,0,104,38,11
Zalaris ASA,0.02590497113619967,3016,9,0,0,0,0,3,34,5,0
3i Infotech Ltd,0.025314654426181922,7014,9,0,15,0,0,0,12,22,4
Tech Mahindra Ltd,0.024734937028121188,7068,9,1,5,0,0,0,20,32,0
"JASTEC CO., LTD.",0.024129227063264848,3171,9,0,1,0,0,3,2,8,1
KPIT Technologies Ltd,0.024093696198543065,7859,12,1,1,0,0,0,19,19,5
Info Drive Software Ltd,0.023582726289471848,4766,8,0,1,0,0,3,6,13,1
Cognizant Technology Solutions Corp,0.022772329374042204,20850,15,1,0,1,0,0,147,163,11
Tecnocom Telecomunicaciones y Energia SA,0.022350729429656605,3260,6,0,6,0,0,0,14,4,4
TSS Inc,0.02179306346796838,4085,13,0,5,0,0,0,0,14,18
Vama Industries Ltd,0.02159987248206543,4390,8,0,1,0,0,3,4,17,0
Engility Holdings Inc,0.02057096486827559,5908,13,0,0,0,0,1,14,12,23
Jsti Group,0.020039901953608424,8311,9,0,0,0,0,4,9,269,8
Huron Consulting Group,0.019956432184304065,6488,12,0,1,0,0,0,202,7,5
MVV Holding publ AB,0.01984447800844358,33221,10,0,62,0,0,11,10,29,1
NIIT Technologies Ltd.,0.01863166370630575,5577,10,0,0,0,0,1,4,38,21
Dynacons Systems & Solutions Ltd,0.017767934871120546,5216,12,0,2,0,0,3,7,18,0
FCS Software Solutions Limited,0.01771672539865303,4546,8,0,2,0,0,2,11,16,4
SQS India BFSI Ltd,0.017493424649221122,6525,10,0,1,0,0,5,0,74,0
"The Hackett Group, Inc.",0.01732973892082208,5625,9,0,1,0,0,1,26,7,10
Asseco South Eastern Europe SA,0.016770052539512928,4262,7,0,8,0,0,0,6,10,2
Tata Consultancy Services Limited,0.016435904673136104,7021,10,1,1,0,0,0,21,12,1
Sunyard System Engineering Company Ltd.,0.015898317761098835,4750,12,0,9,0,0,0,16,8,0
Workforce Holdings Limited,0.015612316956419259,3602,12,0,0,0,0,0,15,2,31
Novabase SGPS SA,0.015245867065570826,5032,16,0,6,0,0,1,3,2,2
Amaru Inc.,0.015182874576426818,7538,10,0,17,0,0,0,4,2,0
Vinacontrol Group Corp,0.015030042829731999,3559,10,0,0,0,0,2,4,20,4
Prochem SA,0.014668348332704823,2944,7,0,2,0,0,0,4,6,11
GSS Infotech Ltd,0.014359475676758496,7963,12,0,1,0,0,2,20,74,9
United Integrated Services Co Ltd,0.014192936772498839,3217,9,1,0,0,0,0,3,2,0
Infosys Ltd,0.014102605815896339,15367,14,0,6,0,0,1,43,13,5
Tech-Value SpA,0.013960225996717094,1783,7,0,0,0,0,1,4,5,1
CCR Logistics Systems AG,0.013958945744170026,3392,9,0,0,0,0,0,7,6,18
Cybertech Systems and Software Ltd,0.01395450819116088,6476,11,0,0,0,0,3,2,16,4
MCT Danismanlik AS,0.013953342450010852,3569,7,0,1,0,0,0,21,2,13
Neos Corp,0.013714045223253353,4621,12,0,2,0,0,1,3,14,1
Sondotecnica Engenharia De Solos SA,0.013683401941248464,2957,11,0,7,0,0,0,3,3,0
Computer Engineering & Consulting Ltd,0.013521184859094093,3069,9,0,3,0,0,0,48,4,0
"OmniComm Systems, Inc.",0.013396190195018915,6275,10,0,3,0,0,0,15,11,14
High Co SA,0.013134363560269766,3604,8,0,3,0,0,1,2,14,0
plenum AG,0.01298947481938638,6922,13,0,15,0,0,0,17,2,0
KBC Advanced Technologies Plc,0.01292014486217259,9108,13,0,1,0,0,0,40,8,21
Infotel SA,0.012801808278447917,3522,8,0,0,0,0,1,8,7,3
Telnet Holding,0.0127746877630885,6635,11,0,1,0,0,1,17,10,7
Safco Investment Holding Corp,0.01245359018204298,56360,10,0,24,0,0,20,117,11,3
Sigmaxyz Inc,0.012360981956498884,3540,8,0,3,0,0,0,13,4,1
Performance Technologies SA,0.012176264317064993,2737,10,0,0,0,0,0,9,4,13
A.L.D. Advanced Logistics Developments,0.012027000967756524,1989,7,0,0,0,0,0,8,10,8
Mindteck India Ltd,0.011943035252292166,4806,8,0,0,0,0,1,11,18,5
EFactor Group Corp,0.011857867560277784,5981,9,0,3,0,0,1,8,4,2
AXISCADES Engineering Technologies Ltd,0.011479525394113428,6691,13,1,1,0,0,0,0,44,2
Management Consulting Group PLC,0.011442421408889583,3748,7,0,1,0,0,0,87,6,0
Trex Acquisition Corp,0.011407817350804277,3876,10,0,4,0,0,0,6,7,1
Cap Gemini SA,0.011330556555365115,8275,16,0,3,0,0,0,92,44,1
Infosys Ltd ADR,0.011007179895149436,12137,13,0,3,0,0,1,27,16,6
"Guomai Technologies, Inc.",0.010776035375700866,2109,7,0,0,0,0,1,8,3,2
CMC Limited,0.010593285859451004,2112,8,0,2,0,0,0,7,6,3
Semcon AB,0.010438235560764588,5513,12,0,2,0,0,0,2,19,25
Indra Sistemas SA,0.010432458541184462,3287,8,0,3,0,0,0,6,10,2
Nucleus Software Exports Ltd.,0.010343333321421533,8113,9,0,6,0,0,0,10,23,6
Itera ASA,0.010338177921559874,3332,6,0,0,0,0,1,24,3,1
Datalex plc,0.01016794269996403,1886,9,0,0,0,0,1,1,5,1
AGS Corp,0.010114464505964245,2781,11,0,2,0,0,0,4,5,4
Root9b Technologies Inc,0.009997736635059085,12416,11,0,0,0,0,0,5,11,33
Wipro Limited (ADR),0.009894133941618866,9400,13,0,8,0,0,0,36,24,0
VSE Corporation,0.009762830685692222,4014,10,0,0,0,0,0,20,6,11
Aurum Soft Systems Ltd,0.009665360166645343,6066,9,0,1,0,0,2,4,17,2
Eficom-Sinersio SA,0.00956778922807845,4315,9,0,1,0,0,0,8,3,5
"Perficient, Inc.",0.009566056209694472,8027,11,0,1,0,0,0,68,15,6
Power Engineering Consulting JSC 2,0.009489340209961549,2510,8,0,1,0,0,0,64,5,0
"Lionbridge Technologies, Inc.",0.009104525481972972,6079,9,0,3,0,0,0,2,66,10
Technodex Bhd,0.009052070290148215,7463,12,0,2,0,0,0,14,27,12
Press Ganey Holdings Inc,0.008993383813143768,5433,13,0,1,0,0,1,23,5,2
Wipro Limited,0.008768437046166037,11594,12,0,8,0,0,0,41,29,1
Yamada Consulting Group Co Ltd,0.008758889311973484,3616,9,0,0,0,0,0,70,3,1
Satyam Computer Services Limited,0.008596430756824943,46485,9,0,1,0,0,6,50,40,16
Talex SA,0.008584646788682648,3223,9,0,0,0,0,0,9,6,7
SQS Software Quality Systems AG,0.00855259611064891,2684,7,0,0,0,0,0,16,42,6
Penna Consulting plc,0.008551187715297125,4204,9,0,0,0,0,0,98,5,2
Cybercom Group AB,0.008438467603979408,4677,12,0,1,0,0,0,8,18,7
AMERICATOWNE Inc,0.008380602739537344,8015,16,0,0,0,0,2,6,10,4
Beijing SPC Environment Prtcn Tech CoLtd,0.007849041188382701,3640,9,0,0,0,0,0,0,7,18
Power Engineering Consulting JSC 1,0.0077086834173493,3478,8,0,0,0,0,0,37,5,4
Qualitech PCL,0.007624467880864488,2412,6,0,0,0,0,1,0,25,1
Cartesian Inc,0.00737291004440559,3364,12,0,6,0,0,0,0,6,0
"TANABE MANAGEMENT CONSULTING CO., LTD.",0.007354940400904818,2191,6,0,0,0,0,0,73,1,2
SilverSun Technologies Inc,0.007148154210069136,5151,8,0,0,0,0,0,11,3,10
CCID Consulting Company Limited,0.006967875428330821,1213,5,0,0,0,0,0,45,1,0
Pharma Bio Serv Inc,0.006918466487453556,5952,11,0,0,0,0,0,36,13,7
"Willdan Group, Inc.",0.006701820377966898,4592,6,0,0,0,0,0,22,1,9
AG dd,0.006671771262836279,3295,6,0,0,0,0,0,0,9,9
RealDolmen NV,0.0065669513914972414,3076,9,0,0,0,0,1,5,0,1
Melstar Information Technologies Ltd,0.006540853347972251,5285,11,0,1,0,0,1,7,11,0
Wirtek A/S,0.006453436167554835,1685,5,0,1,0,0,0,3,39,2
Softfront,0.0063929029806905945,2734,9,0,2,0,0,0,3,7,2
Information & Networking Technology JSC,0.006342215232224393,4956,10,0,1,0,0,1,5,5,0
NJS Co Ltd,0.006222032375485762,6114,15,0,0,0,0,0,16,7,9
IB Maroc.com,0.006199276454851009,2207,8,0,0,0,0,0,16,2,5
Shanghai DragonNet Technology Co Ltd,0.006195007409228881,2744,8,0,0,0,0,0,5,4,6
Bamboo Capital JSC,0.006107861353838233,4954,12,0,3,0,0,0,13,11,0
Vidavo SA,0.006076935662899406,2960,6,0,0,0,0,0,0,3,13
Borneo Industrial Fishery Corp Inc,0.006067727554841359,7910,9,0,0,0,0,2,6,3,0
Acando AB,0.005997379311676426,1862,8,0,0,0,0,0,20,7,1
China Education Resources Inc.,0.005899360693064159,3354,8,0,0,0,0,0,0,2,26
Kamalakshi Finace Corporation Ltd,0.00585777173928629,6080,9,0,1,0,0,2,2,5,0
"CIBER, Inc.",0.005776790682171895,7663,11,0,0,0,0,0,43,11,7
CN Dragon Corp,0.005686830357863739,2781,7,0,0,0,0,0,7,6,4
"Computer Task Group, Inc.",0.005655785151692318,5676,11,0,0,0,0,0,5,47,11
Hexaware Technologies Limited,0.005619180163124883,4948,9,0,0,0,0,0,5,17,8
"Minori Solutions Co.,Ltd.",0.005598561462776562,3326,13,0,2,0,0,0,7,5,1
Tata Elxsi Limited,0.005566603141849788,6512,13,0,1,0,0,1,10,38,0
Fabasoft AG,0.005560779702639975,1981,7,0,0,0,0,1,0,6,0
Keyrus SA,0.005501979651444719,5395,13,0,0,0,0,0,31,3,6
Hwa Create Co Ltd,0.005483557503717428,3109,8,0,0,0,0,2,0,17,2
"Navigant Consulting, Inc.",0.005277627095899838,3073,9,0,2,0,0,0,31,4,0
Medicine Man Technologies Inc,0.0051666124118542,5521,12,0,0,0,0,0,31,5,6
Axcelasia Inc,0.0049639723304434075,4372,14,0,0,0,0,0,17,8,5
Swisslog Holding Ltd,0.004960226245970482,6611,13,0,0,0,0,0,9,1,15
YGSOFT INC.,0.00493942872175131,2060,7,0,0,0,0,0,5,3,3
Wise Group AB,0.00488177979625724,3430,6,0,2,0,0,1,2,3,0
Secunet Security Networks AG,0.0048619434995768865,2652,8,0,0,0,0,0,7,15,4
"PFSweb, Inc.",0.004848212657523332,8248,12,0,2,0,0,0,15,5,5
Inspired Energy PLC,0.004843878175290764,3743,11,0,4,0,0,0,0,6,0
NEC Networks & System Integration Corp,0.004766777917437082,4767,11,0,3,0,0,0,6,10,0
Dagang Nexchange Bhd,0.004737370596687397,8325,13,0,0,0,0,2,4,20,0
"CTI Engineering Co., Ltd.",0.004715028445353935,4645,9,0,2,0,0,0,14,10,1
Petrovietnam Power Engineering Con JSC,0.004612123429603603,4581,10,0,0,0,0,0,15,5,6
"AUN CONSULTING, Inc.",0.004590306540248478,5104,11,0,1,0,0,0,80,2,0
Shanghai Yanhua Smartech Group Co Ltd,0.0045872751418328805,3171,9,0,1,0,0,0,11,3,2
GaiaX Co Ltd,0.004560052141473085,2143,12,0,0,0,0,1,2,12,0
DGA SA,0.0044963545237374095,5315,9,0,3,0,0,0,1,3,0
Begbies Traynor Group plc,0.004489088575905475,4743,8,0,1,0,0,0,9,4,3
Science Group PLC,0.004481705117549551,2322,7,0,0,0,0,0,6,5,3
Teledyne Technologies Incorporated,0.0044159978604857795,4976,8,0,1,0,0,1,0,14,1
TriNet Group Inc,0.004353202041434127,5126,9,0,2,0,0,0,4,4,3
Zylog Systems Ltd.,0.004177229002497892,3624,8,0,2,0,0,0,14,12,0
Emakina Group SA,0.004136057147939521,2875,8,0,0,0,0,1,0,3,0
JGC Corp,0.004097150420985341,4017,9,0,0,0,0,1,0,11,1
Cicero Inc,0.004095056311563451,3298,8,0,0,0,0,0,0,4,11
JUST PLANNING INC.,0.004067088186273241,3017,8,0,0,0,0,1,1,2,1
Luxoft Holding Inc,0.004030130730500008,4954,9,0,1,0,0,0,15,17,1
RIB Software AG,0.0038431163741009925,4256,11,0,0,0,0,0,3,2,10
Youji Corporation,0.003789823790927716,2273,8,0,0,0,0,0,3,1,3
Morneau Shepell Inc,0.003769299467976947,4669,8,0,0,0,0,0,51,4,1
Norcon Plc.,0.0037116042036572467,3483,7,0,1,0,0,0,3,6,2
Palred Technologies Ltd,0.0037070272665761174,9006,13,0,1,0,0,1,1,65,0
Enea AB,0.003693944529820726,3417,8,0,1,0,0,0,2,10,3
"ExlService Holdings, Inc.",0.0036530988059462095,4360,10,0,1,0,0,0,9,5,1
Mattersight Corp,0.0036418970565164446,5562,11,0,0,0,0,0,5,9,5
Kycom Holdings Co Ltd,0.0036372785361673673,3909,7,0,0,0,0,0,8,3,3
Funai Soken Holdings Inc,0.003618008063349396,3642,8,0,0,0,0,0,37,5,0
Wistron Information Tech & Services Corp,0.0035641569776754096,4651,13,0,1,0,0,0,27,14,0
Kainos Group PLC,0.0035356115580573015,8841,13,0,0,0,0,0,23,71,7
Booz Allen Hamilton Holding Corporation,0.0035319792405087377,20253,18,0,2,0,0,0,148,16,2
IR Japan Holdings Ltd,0.0034582565827695404,3221,9,0,1,0,0,0,13,10,0
Mexter Technology Berhad,0.003389420658284058,4218,9,0,1,0,0,0,5,24,1
EFESO Consulting,0.003359017645851279,906,2,0,0,0,0,0,16,1,0
R Systems International Limited,0.0033146048494344777,6169,9,0,2,0,0,0,34,36,1
Vendator AB,0.003308154331973421,2812,7,0,1,0,0,0,1,3,1
Poyry PLC,0.0032468300337227815,6775,12,0,1,0,0,0,50,7,0
AtmanCo Inc,0.003215618434380195,5283,12,0,1,0,0,0,7,38,2
CH2M HILL Companies Ltd,0.00318248239091065,9120,13,0,2,0,0,0,21,13,1
Gexeed Co Ltd,0.0031101444317877007,3395,8,0,0,0,0,0,17,5,1
"Infinite Group, Inc.",0.003055889802344367,2459,8,0,0,0,0,0,2,7,4
WS Atkins PLC,0.0029238612616090958,5068,9,0,1,0,0,0,6,8,2
Tefen Industrial Eng. Mgt.&Sys. Analysis,0.0028948921139914253,2990,7,0,1,0,0,0,10,5,0
American Business Services Inc,0.002837189552441512,2980,7,0,1,0,0,0,3,1,1
Saksoft Ltd.,0.0028352716937184493,4088,11,0,0,0,0,0,3,34,3
Iress Ltd,0.002828853447313814,3938,12,0,0,0,0,0,6,1,4
OUTSOURCING Inc.,0.0027414797040264164,9100,9,0,2,0,0,0,6,20,1
"CROSS CAT CO., LTD.",0.002674929328885541,3264,10,0,0,0,0,0,19,9,2
Tianjin Tenio Archtr and Eng Co Ltd,0.002661529589703921,6103,13,0,1,0,0,0,5,3,2
iDimension Consolidated Bhd,0.0026579611700470952,5460,12,0,1,0,0,0,4,7,1
ICF International Inc,0.002656630037342788,4431,11,0,0,0,0,0,36,1,2
Train Travel Holdings Inc,0.002553326344847646,5729,10,0,0,0,0,0,12,5,3
New Relic Inc,0.002537014808004571,6388,13,0,5,0,0,0,0,1,0
"CDS Co., Ltd.",0.002518518722003087,4625,9,0,0,0,0,0,4,7,3
Progressive Impact Corporation Bhd,0.0024595875248441495,2601,5,0,0,0,0,0,7,11,2
EPCO Co Ltd,0.0024211630925696313,2313,8,0,1,0,0,0,6,2,0
Tai Shing International (Holdings) Ltd.,0.0023320458415941538,4105,6,0,0,0,0,0,3,7,3
Multipolar Technology Tbk PT,0.002323090928447084,2698,9,0,0,0,0,0,13,3,1
Song Da Consulting JSC,0.0023195073549500144,4639,9,0,0,0,0,0,33,7,0
Nihon Unisys Ltd,0.0022588986525196755,7355,11,0,1,0,0,0,10,27,1
Yatai Duhui Beijing Urban P & B GDRI,0.00224953621825655,12241,6,0,3,0,0,2,6,7,1
Maruwa Unyu Kikan Co Ltd,0.002213834169066393,5133,10,0,2,0,0,0,7,5,0
NCC Group PLC,0.002213180876162129,4980,12,0,1,0,0,0,4,21,2
Orbis AG,0.00219074509867487,3188,9,0,0,0,0,0,25,2,1
Itway SpA,0.002185717769724726,4992,8,0,0,0,0,0,2,6,6
Dohwa Engineering Co Ltd,0.002168035266520343,2983,9,0,0,0,0,0,10,4,2
Beijing Guchngrt Sci and Tech Co Ltd,0.002152308271126321,2932,7,0,0,0,0,0,1,8,3
NV5 Global Inc,0.0021382802738588187,5481,9,0,0,0,0,0,37,20,0
Altran Technologies SA,0.0021348449454422326,7705,13,0,0,0,0,0,36,23,2
"Exponent, Inc.",0.002126365392686389,5676,14,0,0,0,0,0,30,5,0
Clearstar Inc,0.002097846832905902,2178,11,0,1,0,0,0,1,15,0
Soellingen Advisory Group Inc,0.0020928410079722464,3274,7,0,0,0,0,0,20,4,0
Socialwire Co Ltd,0.0020924607208873264,4374,17,0,1,0,0,0,7,7,0
Hualien Media Intl Co Ltd,0.0020540760932603705,9103,12,0,0,0,0,1,0,6,1
Groupe Open S.A.,0.0020433480802019826,2817,7,0,0,0,0,0,18,6,0
Multiconsult ASA,0.0020089793509200913,2854,10,0,0,0,0,0,15,9,0
TFP Solutions Bhd,0.001995727037268221,5034,12,0,0,0,0,0,21,14,2
POSCO ICT COMPANY LTD.,0.001983347954792368,2472,7,0,0,0,0,0,18,3,0
Aftek Ltd,0.001932991527503455,2830,6,0,2,0,0,0,0,16,0
"Computer Programs & Systems, Inc.",0.0018799775056453625,9136,13,0,0,0,0,0,10,11,4
Beijing Snsoft Technology Co Ltd,0.0018466780364666724,3805,14,0,2,0,0,0,3,1,0
Datalex plc (ADR),0.0017790901282393433,2794,9,0,0,0,0,0,5,4,1
Odesia Group Inc,0.0017745099122667045,2578,8,0,0,0,0,0,4,3,2
Connectyx Techlgs Hldgs Grp Inc,0.0017684384314781382,3409,9,0,2,0,0,0,8,2,0
Brooker Group PCL,0.0017446287799967302,4324,9,0,0,0,0,0,16,3,1
Columbus A/S,0.0017381695366328188,5529,10,0,1,0,0,0,0,49,1
Interpace Diagnostics Group Inc,0.0016170772438612242,7291,14,0,0,0,0,1,0,108,0
Power Engineering Consulting JSC 3,0.0015426834367334651,2434,7,0,0,0,0,0,29,2,0
